country_a,country_b,year,total_export_A_to_B,total_import_of_A_from_B,trade_volume,bec_1_export_A_to_B,bec_2_export_A_to_B,bec_3_export_A_to_B,bec_4_export_A_to_B,bec_5_export_A_to_B,bec_6_export_A_to_B,bec_7_export_A_to_B,bec_8_export_A_to_B,bec_1_import_A_from_B,bec_2_import_A_from_B,bec_3_import_A_from_B,bec_4_import_A_from_B,bec_5_import_A_from_B,bec_6_import_A_from_B,bec_7_import_A_from_B,bec_8_import_A_from_B
AUS,CHE,2023,1193581183.9999998,2114696063.9999998,3308277247.9999995,78688249.85537791,39983419.7130351,91206917.47083794,411572337.0863618,48420933.16443578,13473580.773868198,501397996.7914715,8837749.144611692,67889532.41073118,21265899.203689516,86505397.92099494,1398695785.9881191,54965658.968978435,13217805.98936662,464874651.9198338,7281331.598286392
AUS,THA,2023,4480967168.000001,8966886399.999998,13447853568.0,625216911.2467296,590746500.0135099,671560636.1368401,160439211.84997293,2123013906.589314,135264751.1297469,171851375.9699209,2873875.063965525,1165412167.528852,2281702874.4422884,1161025166.6414857,301257631.8775328,3548293050.5877066,261691116.44808984,243488521.92159393,4015870.5524491305
AUS,ARE,2023,2324060160.0000005,713769472.0000001,3037829632.0000005,931687240.759838,617824288.367689,187479555.07207236,165166441.54664823,197940494.30392665,136403187.76900148,50510796.555479966,37048155.6253446,223369799.1804827,153991223.36984318,96448098.467974,138054390.3552841,58276486.61258704,13737572.322258716,26917702.216675658,2974199.4748946168
AUS,USA,2023,10404006911.999998,25197277184.0,35601284096.0,1759612337.1877947,1116853430.7230556,1465050978.6450803,880208492.2769568,2443999252.842966,630592650.7534525,2006392856.8404083,101296912.73028438,3258296626.1491733,2605130018.6031046,3032824002.3419137,1956187688.530709,5146359101.698729,1710317202.012118,4499369525.580072,2988793019.084182
AUS,VNM,2023,5831107071.999999,4088850943.9999986,9919958015.999998,1139002106.6543217,1849914045.1103663,635512146.7163905,914768032.5926962,261580513.99219385,893109634.8018097,135683593.4143156,1536998.717906222,687256669.7554398,1547669814.7723114,602768794.9135997,392937871.9388534,198233039.2611999,192015931.899643,70427500.07464132,397541321.3843101
CHN,AUS,2023,56474783743.99999,101050384383.99997,157525168127.99997,3170674386.847742,29421407251.344807,10444861471.692877,5490450918.377839,3153514477.5646315,2924192815.4424973,1525028944.2435937,344653478.4860085,6017573106.243447,49646451558.80344,19788088443.992275,7506538971.048016,6599394928.968084,8434569090.48018,2943125076.224419,114643208.24011336
CHN,FRA,2023,31627425792.0,20242849791.999996,51870275584.0,2815941521.846302,2122962824.9321675,7252556723.722408,3630337631.376444,6709013480.518358,2813381617.3133664,5372592541.279736,910639451.0112176,1492307896.7835736,1568935029.2658165,5305316961.364514,2565088318.4922395,4640712855.751701,1987579829.7377253,2611511222.1103396,71397678.49408822
CHN,DEU,2023,75637907455.99998,78748434432.0,154386341888.0,2634586168.268467,7876319078.993725,20849740314.09822,4896765691.969698,19328503275.651035,9590138947.70162,9819575026.334152,642278952.983074,1953057415.1266952,6397739828.610859,20671979274.303593,4925192702.746445,18891251280.8321,17244509319.802795,6675494237.766115,1989210372.8114057
CHN,HKG,2023,208489332735.99997,247370481664.00003,455859814400.0,8461026347.04662,10698869365.535551,26591354555.121937,25981169437.843285,11570907327.410397,115043467113.01051,8473426959.022653,1669111631.009015,6059602244.856159,7315880285.568581,24819502650.314,28193872425.017574,9359054120.89778,160568351801.95303,10104504073.492577,949714061.900316
CHN,IND,2023,88756707328.0,12170144768.0,100926852096.0,5025940848.83989,16918669883.282318,21353144360.184963,7957913373.389825,8657195501.803642,24028779453.55839,4702235751.313992,112828155.6269708,679265373.1022316,2421284260.405895,2618239950.564586,790040974.8428853,1160294780.281755,3873046329.359043,596257551.2767812,31715548.166821547
CHN,IDN,2023,49297080320.00001,45918810112.00001,95215890432.00002,5220131351.787925,15373342845.314137,10715809596.62519,3024362326.001725,10097732833.55438,3454824772.164128,1272498660.265569,138377934.28694683,5420925050.433426,13630337218.57856,9473322653.49423,2204880061.9221673,9865519628.683064,4105951076.1241593,1055825141.88326,162049280.88113734
