country_a,country_b,year,total_export_A_to_B,total_import_of_A_from_B,trade_volume,bec_1_export_A_to_B,bec_2_export_A_to_B,bec_3_export_A_to_B,bec_4_export_A_to_B,bec_5_export_A_to_B,bec_6_export_A_to_B,bec_7_export_A_to_B,bec_8_export_A_to_B,bec_1_import_A_from_B,bec_2_import_A_from_B,bec_3_import_A_from_B,bec_4_import_A_from_B,bec_5_import_A_from_B,bec_6_import_A_from_B,bec_7_import_A_from_B,bec_8_import_A_from_B
KOR,CHN,2017,129886633983.99997,94798725119.99998,224685359103.99994,3096238177.9934473,24036492432.806293,23417713189.319557,5013788185.804129,13520608665.730558,38900870429.29623,11580919930.85655,10320002972.193218,2237962069.750682,16250498998.64927,14378091483.282122,3842854815.616783,7983482130.243543,34019222298.134037,7196370622.126543,8890242702.197012
KOR,CHN,2018,145950900224.0,98571902976.0,244522803200.0,3491382709.955843,28720877448.255875,25126045166.972305,5372705278.068721,12809748144.4005,50414505341.610054,11573662760.237112,8441973374.499585,2284524695.0840197,17873261297.98435,14607438693.14998,3590934488.1562366,7037876756.116091,39094961366.732346,7148887696.005915,6934017982.771058
KOR,CHN,2019,119920107519.99998,97666678783.99998,217586786303.99997,3268825858.376792,22808538532.61913,22278831978.184135,4753536423.409288,11650240833.921206,40369698852.03787,8241016146.41003,6549418895.041535,2483797234.556926,17228128747.07252,15986048546.899132,4196493382.6785073,7498501069.536245,36970787043.83163,7489716095.20702,5813206664.218019
KOR,CHN,2020,115344269311.99997,98335195136.0,213679464447.99997,3171860966.1842694,19687661655.517365,21430303662.818207,4985254418.710525,10581102717.9604,41366799975.341194,8401754955.008827,5719530960.459203,2417907483.35094,14997590501.546947,16712623164.874935,4652089643.932698,7293066928.983611,40365481669.54618,7016219043.548834,4880216700.215852
KOR,CHN,2021,135217766400.0,124959768576.00002,260177534976.0,3534262196.175146,25481363357.568195,25219877468.581757,4806607717.670011,12533897287.367184,47023254265.60492,9502214545.056606,7116289561.976187,2833218366.107062,20398547636.226944,21176306864.695,4819736816.16888,9802872539.60325,51679075092.67944,7902517932.269756,6347493328.249662
KOR,CHN,2022,119957831679.99998,126339997695.99998,246297829375.99997,3224119682.144422,25705812844.67451,22189912029.509777,4407389515.142138,11480201669.211502,46914088851.01682,5977241769.620917,59065318.67992046,2970216547.0514407,22897246299.377327,22503918989.254932,5247047800.155225,10491880039.3203,56454189472.28931,5290291950.266267,485206598.28519225
KOR,CHN,2023,93394886656.0,112944381951.99997,206339268607.99997,2814378984.04848,21026301788.84033,18323606256.399456,3849103057.741619,11195517771.78618,31979334383.23954,4161012641.874797,45631772.06960057,3124290217.9130487,21411402920.61251,20272842177.57387,5135785518.963245,11702257849.38164,45934441381.69135,4436682276.749218,926679609.1150998
KOR,FRA,2006,3927478271.999999,4060000767.999999,7987479039.999998,182645661.2782443,275742948.63316214,601410849.789442,161545686.8225434,1122752766.0710435,165222291.1489879,466345296.1489512,951812772.1076252,152053001.7665507,300817181.2285841,467237432.25842816,168842496.46787077,1090704430.142173,404683912.8044691,271980149.3654844,1203682163.9664395
KOR,FRA,2007,3856864767.9999995,4459301888.0,8316166656.0,218166618.23902252,297185593.97781605,662788771.5945029,166749067.8093405,821012594.9835691,323710644.29084957,390429706.1275707,976821770.9773284,168156480.2949754,410004788.2524709,594000463.1429212,186267547.56720588,969099738.2986938,994700976.0024334,287165206.6375736,849906687.8037254
KOR,FRA,2008,3830173439.9999995,4631446016.0,8461619456.0,205044395.42896104,328147128.61543274,626305646.541279,132236172.7720868,970898837.3303404,284808500.3253507,332517935.39287245,950214823.5936766,147771471.00886625,393761373.91445035,667838227.0344499,172126099.4438665,1000435230.804332,974364735.0444206,294438713.55850536,980710165.191109
KOR,FRA,2009,3091007744.0000005,3868148479.9999995,6959156224.0,167482782.8205407,249252791.8399471,614220733.3549572,103371410.1422304,803370119.1692598,231809107.0390682,282957925.97123146,638542873.6627655,132785078.61516762,341325481.13827276,607944467.428665,138612160.37396592,1022201537.0637217,680499032.9915127,266612018.46981153,678168703.9188825
KOR,FRA,2010,3133655807.9999995,4387766272.0,7521422080.0,156600912.61351392,307074459.92558116,525824368.5828669,111990047.9705972,1053268214.5424632,236249556.87979448,307424956.6869175,435223290.7982656,152153907.17208657,429178695.8082956,622674330.8347957,153112699.48727617,1227379935.698774,877929425.9319576,339264833.1847549,586072443.8820593
KOR,FRA,2011,5759126015.999999,5871498240.0,11630624256.0,212083164.70186052,616735428.3417894,637653647.1890708,156152455.66675147,2957992635.9859304,270081956.6009056,395892423.784173,512534303.72951794,214214815.3200356,818075745.298416,736020294.4086734,202398163.17403197,2082738812.6207652,884691470.9696423,397043333.03834176,536315605.17009383
KOR,FRA,2012,2770391808.0,4663298047.999999,7433689855.999999,180977991.0364238,282522689.244833,512116991.45091313,130394258.54478408,852811208.1055338,186793836.9748281,293629802.672983,331145029.9697011,250633679.5030063,687923915.5063869,786358787.4765759,197342844.4100491,1200703248.4168406,621630913.07855,319961682.71236676,598742976.8962243
KOR,FRA,2013,3493461504.0,5492050944.0,8985512448.0,233198408.51289663,512900637.0129383,649605030.5723029,154363539.82343644,1123298952.8059826,143601056.95010707,314216068.70776445,362277809.6145711,257685743.95942312,862614866.7273955,866182796.1193508,211513909.9527288,1677062677.7598526,605429856.1894366,338576697.14765114,672984396.1441613
KOR,FRA,2014,2781354240.0,6273017856.0,9054372096.0,163195207.23950112,272185298.1697924,549129089.8009759,127256913.53241496,1085654786.9031465,115546832.2559967,272295189.5920832,196090922.50608945,309893531.15378404,825942082.3529091,1039560879.3879642,271546387.7250848,2213846408.3463764,573885168.1864126,438031937.44576794,600311461.4017007
KOR,FRA,2015,2488558848.0,5102226944.0,7590785792.0,172643136.26348186,218062231.1580397,475325245.9574011,114024301.79035056,957115897.5639312,115568953.7582784,289208045.84765613,146611035.6608611,289806614.6018128,675188662.0991931,918720773.3838444,244228943.73214355,1700183420.975619,472529923.5694502,400479143.6575743,401089461.9803616
KOR,FRA,2016,2361299968.0,4044975872.0,6406275840.0,165825134.2076489,239762097.1970425,412781685.8491077,105695862.5055872,849914782.6994339,140198689.8299138,315876434.22289735,131245281.4883684,260089049.1289562,676220448.3814512,659921656.1699764,210999925.9853325,1043102752.192734,438703709.49103814,405765853.0540676,350172477.59644395
KOR,FRA,2017,2847086336.0,5242302976.0,8089389312.0,233277525.74029335,372986200.14510506,473314404.9561935,136287533.1437309,899471541.0876013,166631519.12884068,399789642.391849,165327969.40638587,320754367.2544283,691085707.4623896,747555881.5474632,250185323.9635262,1849905521.3700604,464693629.12905234,530421514.57220566,387701030.7008744
KOR,FRA,2018,3261369087.999999,4634663935.999999,7896033023.999998,251620707.14413533,474061789.75891495,486806658.880536,158203021.35628104,1057163376.7579428,210656688.86400855,449639544.6698463,173217300.56833473,304899978.3360356,719476718.2976278,635697690.8082931,247553735.5266767,1420852609.9104035,407888207.7719914,585073558.3593037,313221436.9896672
KOR,FRA,2019,2975549184.0,5132696576.0,8108245760.0,220907203.9349788,328218610.21222436,472932926.11088914,153232777.21223304,1010157858.241192,228359203.06997585,398046605.37739176,163693999.8411149,291867114.05376565,818119669.2044122,683849405.4054793,266583831.54730445,1608573781.3499272,521548576.487317,612253951.9073985,329900246.0443952
KOR,FRA,2020,2644279807.9999995,4794384384.0,7438664192.0,238510503.98584148,256842009.42223972,424176643.981702,125144648.12149575,892128198.7736331,190317708.53392085,371679715.5358669,145480379.6452998,358481032.3803094,510943098.9463146,643596385.4856685,251222580.4799944,1692762333.0268724,413873840.9763703,560046658.340491,363458454.3639793
KOR,FRA,2021,3863054848.0000005,4707420672.0,8570475520.0,336630744.0633372,368650881.6816692,520307680.09365416,183915015.48266175,1441907361.3333275,259808172.2532166,469417709.1639421,282417283.9281915,345637739.59283185,676149577.8135619,623650329.979445,251602477.89503103,1636523026.2047515,310262830.40646756,559943153.8561738,303651536.2517373
KOR,FRA,2022,4117003007.999999,4748215296.0,8865218304.0,337018576.8456789,468158859.7258911,536173373.0322313,209314586.68084368,1584192581.6392615,443679053.6527207,535020707.67390954,3445268.7494625845,329812355.01679146,914784409.0524188,595881058.874696,289291715.0082559,1518149206.016222,528609696.73535115,559862598.3013299,11824256.994934993
KOR,FRA,2023,4207852032.0,4835822592.0,9043674624.0,352136998.8843389,372206045.48035914,506039859.8691832,234592153.31791955,1758439737.872649,444218654.8552444,535915216.33096033,4303365.389345215,262153095.9640138,602536155.202374,461963793.8052975,266059522.83724785,1619799436.189806,503087183.97185946,1110731332.8764253,9492071.152975932
KOR,DEU,2006,11262951424.0,11437861888.0,22700813312.0,179117569.2942444,1181588531.456915,1962117180.169418,364754817.25488585,3067367047.99809,1006696622.2268838,1002670900.053442,2498638755.5461216,143011708.64650995,1225933801.2624438,1871024358.2647135,343102404.4539538,3209994378.3141775,1569578900.414055,549312402.5867808,2525903934.0573654
KOR,DEU,2007,12465931263.999998,12644763648.0,25110694912.0,233313788.21710825,1251283280.3201864,2231615065.9483795,393620803.2412594,4001652772.836811,2063832875.190452,984462639.6580696,1306150038.5877323,233110142.56423423,1603329753.9017034,2112835238.3751583,420423654.20163697,2637805882.184657,3535502143.2472644,810349756.5552727,1291407076.970071
KOR,DEU,2008,10943619072.000002,13264116736.0,24207735808.0,179604497.43027577,1209547408.3046985,2054261778.5978332,334499334.97710246,3675084928.402445,1409789518.116325,838113603.5951378,1242718002.576183,212601968.16299063,1631620845.5315506,2060052531.366573,314995029.24384636,4065867601.455696,2792793888.858825,712396827.9505607,1473788043.4299574
KOR,DEU,2009,9261905920.0,11526756352.0,20788662272.0,191721656.4489637,993913801.2239046,1614675813.5508182,276637805.3275112,3357165518.129635,1070714871.4478832,712419044.6448721,1044657409.2264122,241061417.16820884,1461339988.9447422,1897982139.1898289,222982319.6648857,3291559397.9507,2511462639.831573,652032459.950243,1248335989.2998178
KOR,DEU,2010,11023245312.0,13922460672.0,24945705984.0,189091981.80745623,1306417978.6693983,1952247140.792702,323708479.2105472,4082387460.922615,1107103205.187225,927164807.8752664,1135124257.53479,201947321.23717052,1607122469.9313388,2046193182.088708,301073587.6194328,5220796195.096199,2406775181.5892596,732884636.2791495,1405668098.1587417
KOR,DEU,2011,9507674112.0,16219823104.000002,25727497216.0,248325088.90675265,1434840622.4797611,1879458087.9816167,239757468.85079885,3456237738.6002746,745347172.4326919,757153540.142634,746554392.60547,370018782.1531819,2186918927.8032613,2702932947.8939953,377559598.40799576,5980980059.942808,2232195855.9875946,925115081.7449816,1444101850.066182
KOR,DEU,2012,7359497728.0,16835964928.0,24195462656.0,220617749.27039745,1196064165.1779284,1521446885.9776754,170659408.4961045,2505572613.665301,601455168.0711464,625278609.3205085,518403128.0209386,398283009.8546325,2493512992.6351333,2855566461.470516,379412948.1445628,6121088012.28003,1995936546.3218253,1060092175.23146,1532072782.061839
KOR,DEU,2013,7670628863.999999,18611853312.0,26282482176.0,219416242.67062137,1256459080.1202493,1522325463.609194,223483574.67884615,2618604997.9088874,635298503.3737487,627263688.5921273,567777313.0463246,443459271.07450366,2790399235.2339,2843083066.776636,548292655.01015,7154512854.6346855,1864162894.6385543,1204400898.2324014,1763542436.3991706
KOR,DEU,2014,7192379392.0,19685834752.0,26878214144.0,238895997.99951383,1124447751.5519488,1415081546.9084554,240325521.5090085,2553040994.9791937,606654315.8993899,528499029.9321315,485434233.2203574,516689321.68257725,2767838933.930701,2818842458.692843,642543253.0805964,8207956574.66248,1839127403.6619089,1153378917.3738682,1739457888.915023
KOR,DEU,2015,5909200384.0,18943838207.999996,24853038591.999996,212239323.4191628,915914174.8296784,1083175514.3712535,203354695.3142797,2297251838.934256,401388176.33909184,461249718.133797,334626942.65848035,464086389.62172925,2548350172.068662,2563008131.319096,567575951.4532272,8644068475.669115,1530369791.3233056,1106636056.2766874,1519743240.2681758
KOR,DEU,2016,6095885823.999999,18046255104.0,24142140928.0,258245105.7336689,876756210.1046801,1140357219.5956,141064300.95180437,2284797098.1967607,453371622.8298599,573442700.406973,367851566.1806524,533889688.5553438,2317655483.678634,2559218059.7855825,362391565.795177,7925168465.189373,1421418695.5237844,1295765601.2477837,1630747544.2243197
KOR,DEU,2017,7558083584.000001,18712211456.000004,26270295040.000004,341225172.3609872,1073656262.9058666,1365510716.9443858,174156224.630323,2701535083.0349293,657616629.4864402,910348168.9393996,334035325.6976686,566198826.3354639,2207074038.4898934,2627188297.560554,365827694.2860916,7404871138.71028,2191726235.0201764,2059553317.3666267,1289771908.2309134
KOR,DEU,2018,8489974784.0,18970212352.0,27460187136.0,367739906.95941424,1228585662.7738998,1542656939.286061,173989887.46184927,3014298503.538852,800687111.1364098,1004880483.5065027,357136289.33701044,551877671.2681484,2287236916.7736464,2732011935.1340566,334780903.3693063,7703437495.140052,2252076925.078491,1918118536.422478,1190671968.8138194
KOR,DEU,2019,7662116864.0,17290129408.0,24952246272.0,356235428.86252934,1059373483.5316892,1346097132.4796977,168315872.72834736,2917833126.3983216,589931560.3588551,947747511.566888,276582748.0736709,539832144.9964982,2102020477.282544,2578205386.072408,308141693.4338548,7043183967.734926,1739603730.0596278,1871785919.470363,1107356088.9497778
KOR,DEU,2020,8332090880.0,18014476288.0,26346567168.0,362316968.7384205,944284240.3745492,1300683086.25339,239322430.95487177,3008585019.2153263,748302076.6762037,1361306503.9487698,367290553.8384683,555268213.1917686,1902127735.1178792,2546761337.085377,379059718.0068943,7780460816.297489,1654167328.7279055,1778652673.3709316,1417978466.2017531
KOR,DEU,2021,9221209088.000002,18914070528.0,28135279616.0,344475155.55995476,1153966274.562281,1465535713.04624,244621887.03622437,3188195149.155998,920298282.0239332,1466636563.1917932,437480063.4235768,476932586.4230195,2037831118.6364975,2475042540.733483,578509837.701628,7912776875.710815,1884103128.3877037,2249812719.118874,1299061721.2879782
KOR,DEU,2022,7752153600.0,17400602624.0,25152756224.0,280215037.45399904,955720015.710291,1228440806.1606264,227479988.50321087,2849150612.7239785,941785062.91696,1250637714.8979776,18724361.63295604,436519918.4642813,2005793833.7133696,2315688590.6372495,440293888.8115706,8177574694.86981,2024818642.102383,1744260465.6669135,255652589.73442185
KOR,DEU,2023,7714835455.999999,16509146112.000002,24223981568.0,300716623.985896,916847456.1627882,1224867007.321924,150038331.56900498,3243843005.6391335,850388292.2131647,1005976186.266508,22158552.841580786,483708737.20160514,2124861614.7396033,2547420096.980979,335828337.61865073,6896687751.789304,1950311104.9556732,1793300806.3654425,377027662.3487426
KOR,HKG,2006,21256327168.0,7472482816.0,28728809984.0,384412487.5276789,2566758398.646595,2630467595.215248,1267129640.3194332,1636318612.184487,4419269722.990932,990833647.229697,7361137063.885929,119266217.10655408,715060142.1427423,792924699.5281732,546872013.7171851,352645569.3307844,2101583311.5497303,251849241.20117617,2592281621.4236546
KOR,HKG,2007,20146806784.0,7333735424.0,27480542208.0,355696784.1152906,2720542718.277155,2438576074.624281,1439376052.7021182,1833143402.788037,8195365521.297718,710346052.9158065,2453760177.279594,111792728.73076558,741321374.1363857,931187013.8660476,597325054.3778434,337674423.80831957,3751562020.0326223,359970592.7609656,502902216.2870501
KOR,HKG,2008,20562747392.0,6626704384.0,27189451776.0,365693915.9071238,4151690081.2546983,2034256441.4748664,1829565293.9493663,1443516150.7412374,6636348429.376579,764227282.1462721,3337449797.149856,104024347.44278724,1024774729.3979696,767186337.9810746,697590260.5432806,355990010.938084,2774639034.1766167,335643210.6155958,566856452.9045913
KOR,HKG,2009,20644108288.000004,5845028352.0,26489136640.000004,370444128.6784165,2519174463.3071747,1802420923.8206253,2548405195.9644346,2222610447.8735523,7069104380.855036,850519391.1105293,3261429356.3902345,104760881.34638096,633685011.7259399,686181082.5876968,747905820.0712336,359059904.3032499,2431651186.523628,326689422.91589135,555095042.5259789
KOR,HKG,2010,26053177343.999996,7126543360.000001,33179720703.999996,442467297.2243073,3030273815.0808167,3056412696.146972,2783374895.7188406,2254028495.515843,11386289651.481588,1210021558.771603,1890308934.0600283,121262260.06420363,680203085.4420758,886926819.6097153,794431534.7041259,399318314.4942204,3307147194.402932,356518315.23183316,580735836.0508935
KOR,HKG,2011,30974662656.0,7873011200.0,38847673856.0,516132703.8796234,3852545638.338397,4188846635.614847,3110065838.839788,3589910706.582097,12522407776.50028,1342948881.7545297,1851804474.4904375,142811697.08941397,968094375.5367022,930397063.9311374,888008128.741385,491104779.9085033,3356209640.9385576,376341920.07117623,720043593.7831241
KOR,HKG,2012,31954065407.999992,7454323199.999999,39408388607.99999,524707495.139893,4682937075.987693,4018040109.437541,3114868597.282485,4305447689.858961,11806624826.416948,1218192123.4745276,2283247490.401945,152247446.73488137,995388980.4788922,834511175.767108,870329456.8679075,466392558.09381735,3051106860.0349555,355552417.7091848,728794304.3132527
KOR,HKG,2013,26923620351.999996,8034608640.0,34958228992.0,622881884.9861895,3034667334.750435,3717021364.9154534,1805174384.0365827,1499852017.351294,12096033759.24406,1548576830.2146292,2599412776.501354,193327783.73108023,734643471.7340553,1001307782.4403766,623832239.0088769,429563223.2669469,3659619187.111444,463565239.4938222,928749713.2133976
KOR,HKG,2014,25893580800.0,7647497216.000001,33541078016.0,598963777.0582374,3140298367.743877,2851135204.5865736,1634058121.428054,773614944.9883139,12625205681.401505,1680058394.127273,2590246308.6661663,188573524.13867903,654999574.6323053,845138759.3033079,576393127.7283429,294196861.11004984,3936261482.72711,403267086.54684347,748666799.813362
KOR,HKG,2015,28897269760.0,7300837887.999999,36198107648.0,571749766.9056531,2347540753.4512215,2658853911.0830655,1217067766.3588364,2175161506.8098927,13239338374.123396,1660979792.4397428,5026577888.828195,188751590.60984725,525558950.40810114,802581482.3055475,491531498.2843987,253657861.6069199,4029220757.011574,445290829.37063926,564244918.4029725
KOR,HKG,2016,30746605567.999996,6551550463.999999,37298156031.99999,475830151.0716114,1854745070.9578576,2174262139.88374,1493343669.9192812,2251855065.266625,15386965453.055956,2121353142.4093144,4988250875.435613,142302669.33750752,357568883.20426744,549207106.170314,409738684.5132787,310922699.97732425,3944526510.500833,384775329.5638746,452508580.7326
KOR,HKG,2017,35632054271.99999,7354275328.0,42986329599.99999,467776758.1956252,2131960892.974393,2212429277.709578,921293975.4105244,1277420744.7053933,25668699047.70742,2057390399.715884,895083175.5811778,131591875.19216146,457898196.0962971,524511542.92360574,365235994.2168078,193823571.17776987,4976992339.219486,346576519.8471048,357645289.32676727
KOR,HKG,2018,41409294336.0,7022870527.999999,48432164864.0,470448632.9438322,2231427824.518202,2198450521.5036917,812336187.7029349,1427928381.0867977,31567944757.87296,2009836581.1065588,690921449.26502,127323234.62066849,436487526.3292532,476283707.46709704,241584867.61366415,146404824.64435637,4914906928.340573,326258201.98024845,353621237.00413805
KOR,HKG,2019,28084004864.0,6598069759.999999,34682074624.0,409487953.3358981,1746857291.5965035,1818065798.1295063,847984316.8870685,984191183.6804128,20390315682.321888,1270598995.831962,616503642.216759,168948185.9694452,392082429.5566163,482425700.7131523,277913984.6906524,167593813.39518815,4429536516.033609,343010835.44790816,336558294.1934267
KOR,HKG,2020,26675939327.999996,6084625920.0,32760565247.999996,400750289.1744412,1263753784.332834,1822573730.146774,1423969555.430426,895504312.4987481,19145151487.051113,1138569741.7315185,585666427.6341431,101285234.24708204,248294682.4778576,423565743.75264263,353141639.0159106,169450809.13894477,3887282534.297281,669327437.464569,232277839.60571265
KOR,HKG,2021,31097673727.999996,8404091904.0,39501765632.0,399824187.35325694,1537909177.7364376,1875823822.62584,1127090515.9394493,1239074009.3362174,23398907708.914585,961022649.3267044,558021656.767507,104870012.84754032,336121095.4140337,525395750.47709286,320572531.38126147,371304370.67595166,5663336790.29363,736427542.8191773,346063810.0913124
KOR,HKG,2022,21291413504.0,8088632832.0,29380046336.0,372588384.7922574,1187276565.3295476,1166814924.096063,664184295.7837013,375281866.5723457,16770176378.865332,752455793.1835262,2635295.3772269217,116457955.14630549,354117876.7029555,396513291.88180715,276862665.79602337,418658834.98210686,5633251509.411811,877484977.6119822,15285720.467008635
KOR,HKG,2023,18852755456.0,7140278271.999999,25993033728.0,379407309.62724614,1018276208.2672944,986351609.8457493,695941687.6076608,701315427.4951102,14237499111.6115,832173880.6535994,1790220.8918406465,138844572.65532342,301962399.4814041,366880473.1713019,280727118.89153415,441922430.84354687,4939892099.499508,658965040.8879813,11084136.56939978
KOR,IND,2006,6196732416.000001,2623988992.0,8820721408.0,206692653.98033884,1187333949.4356906,745283329.6980542,430003017.11165833,1061803707.344492,333851397.7326754,79116567.74758404,2152647792.949507,105792291.98057628,658211139.9565594,341076838.3731513,182083118.5706555,503900016.2302601,121899619.74322678,47389915.354126334,663636051.7914442
KOR,IND,2007,7128041983.999999,2988931839.9999995,10116973823.999998,327299219.92119765,1323336994.7391994,1023696734.3029996,470960718.6514056,1608331617.3159,336551689.6886157,99401291.79749456,1938463717.5831864,144305305.67905656,784400373.7708209,551549413.7003541,200555842.51653463,687172299.1624459,110455078.84148142,64950218.92896412,445543307.4003426
KOR,IND,2008,9336145920.0,3972819455.9999995,13308965376.0,481280111.2364687,1658278771.9709978,1019456547.5798656,350013704.56920564,2360837573.695334,405937662.5290165,108495673.2640762,2951845875.155036,211690514.20726237,997619916.2955036,643000581.4445407,141578444.08343187,974317344.3590318,138069852.84956262,74753847.62224218,791788955.1384245
KOR,IND,2009,8413954560.0,3918747136.0,12332701696.0,292140525.40328807,1689569151.3731942,1170434986.626121,474959443.7028402,2011655235.6260917,417323271.6816969,158902937.54489282,2198969008.041875,99389869.2380484,1145340657.0646586,455102464.0681426,165053279.3361442,938415489.386816,212274097.86325175,84702732.0808236,818468546.9621146
