Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
 World,"Korea, Dem. Rep.",2022,Exports & Imports,1350,1140,29.24,24.51,,1263427.42,350275,0,0.01,6.88,3.87,5989,66.3,30.46,1.19,2.05,100,0,1384.54,175826.98,84264.83,8.4,5.64,263693,68.08,29.18,28.87,91.9,1487.24,0,98142.81,260091.8,0,7
 World,Portugal,2022,Exports & Imports,4515,4536,97.79,97.51,,105362097.1,81379675.35,0.33,0.46,6.65,6.33,133510,45.8,51.38,0.31,2.52,1150.91,0,2562827.42,26583167.33,523446.4,9,9.77,1033330,67.47,28,5.26,29.81,3000,0,10379313.92,27106475.47,138.27,29
 World,Paraguay,2022,Exports & Imports,3653,1529,79.12,32.87,,11465285.08,9734039.42,0.04,0.05,3.8,30.86,16179,34.65,54.64,2.65,8.06,754.3,0,2258236.64,7931371.99,2318452.04,10.08,13.93,427317,67.95,26.69,23.1,118.49,3000,0,7939259.73,10249824.03,0,18
 World,Occ.Pal.Terr,2022,Exports & Imports,2188,452,47.39,9.72,,1954893.38,159908.26,0,0.01,6.07,4.47,2733,25.5,71.35,0.18,2.96,178.48,0,31.75,94908.89,58507.68,11.01,9.7,129669,65.66,25.6,78.49,336.44,1487.24,0,74938.1,153416.57,0,13
 World,French Polynesia,2022,Exports & Imports,3144,967,68.1,20.79,,1742479.62,167509.71,0,0.01,1.63,2.03,6898,11.71,85.01,0.01,3.26,630.39,0,0.02,114843.36,67439.45,9.67,9.68,287231,66.94,27.68,45.71,178.34,3000,0,102027.76,182282.81,0,3
 World,Qatar,2022,Exports & Imports,4170,3046,90.32,65.48,,40872030.55,136575112,0.56,0.18,4.89,1.19,34413,57.47,40.23,0.91,1.4,754.3,0,26165837.01,148400977.9,460764.14,9.02,2.58,760393,68.02,27.84,15.21,76.21,3000,0,118200708.5,148861741.8,0.27,10
 World,Romania,2022,Exports & Imports,4514,4437,97.77,95.38,,118381910.6,97684572.83,0.4,0.51,3.6,4.97,99665,36.22,61.37,0.24,2.17,1150.91,0,2030275.94,24786271.97,1374259.64,9.06,8.72,878974,67.4,27.84,6.37,35.58,3000,0,8491632.78,26160518.74,12.88,30
 World,Russian Federation,2022,Exports & Imports,4445,4361,96.27,93.74,,198299227.8,576507468.2,2.36,0.86,4.02,1.53,157287,52.69,41.71,1.03,4.57,1156.35,0,211436785.5,635981730.8,17012788.92,8.7,3.46,1071581,66.92,28.78,4.46,24.87,3000,0,453127229.5,652994468.7,51.09,4
 World,Rwanda,2022,Exports & Imports,3158,1151,68.4,24.74,,2186956.6,1088910.71,0,0.01,2.7,4.68,5197,12.51,86.95,0.04,0.5,274.5,0,520.93,320246.47,234969.89,10.3,9.95,265274,67.48,26.65,45.49,254.47,3000,0,277831.28,555216.36,0,43
 World,South Asia,2022,Exports & Imports,,4558,,97.98,,701602749.8,543297735.1,2.23,3.04,4.86,6.28,742272,44.66,51.87,0.7,2.77,1156.35,0,194476250.6,593310392.7,1267545.44,8.7,10.58,1126876,66.86,28.88,1,5.46,3000,0,242893065.8,594577033.1,905.08,202
