Unnamed: 0,session.x,ccode1,ccode2,agree,year,IdealPointAll.x,NVotesAll.x,IdealPointAll.y,NVotesAll.y,IdealPointDistance
896211,53,812,437,0.96969696969697,1998,-1.137725,55.0,-0.6958599,63.0,0.4418651
1298797,65,402,165,0.972972972972973,2010,-0.3590516,57.0,-0.136898,66.0,0.2221536
257022,28,625,640,0.833333333333333,1973,-0.6845631,87.0,0.4877185,91.0,1.1722816
101748,18,511,140,0.75,1963,,,0.7995427,31.0,
1368636,67,346,451,0.788732394366197,2012,0.8423862,69.0,-0.579066,55.0,1.4214522
1421220,68,666,368,0.532258064516129,2013,2.523422,62.0,1.020208,64.0,1.503214
1695446,76,115,812,0.979452054794521,2021,-0.4084704,75.0,-0.7526749,75.0,0.3442045
612762,44,265,94,0.921296296296296,1989,-0.6155031,114.0,0.3063771,110.0,0.9218802
442531,37,380,552,0.738888888888889,1982,0.9731934,157.0,-0.2826682,91.0,1.2558616
316584,31,660,616,0.946969696969697,1976,-0.3141713,67.0,-0.1731886,85.0,0.1409827
553710,41,800,20,0.64527027027027,1986,-0.1714825,148.0,1.685988,154.0,1.8574705
38078,11,369,530,0.532608695652174,1956,-2.807211,60.0,0.1302642,46.0,2.9374752
1117591,60,437,812,0.949152542372881,2005,-0.3440634,55.0,-0.6830027,70.0,0.3389393
1070694,59,205,51,0.73125,2004,0.8795022,72.0,-0.5431866,68.0,1.4226888
753825,49,359,780,0.738461538461539,1994,1.25246,65.0,-1.173335,67.0,2.425795
1278201,64,781,359,0.726190476190476,2009,-0.3644485,67.0,0.9380311,68.0,1.3024796
1693924,76,91,850,0.863636363636364,2021,0.0147506,77.0,-0.8515861,77.0,0.8663367
1600494,73,520,90,0.741379310344828,2018,-0.5161233,29.0,0.1987813,93.0,0.7149046
1402188,68,225,290,0.936507936507937,2013,0.6746156,64.0,1.019024,63.0,0.3444084
25078,8,220,212,0.941176470588235,1953,2.591672,17.0,2.594077,25.0,0.0024049999999999
1481854,70,369,160,0.746478873239437,2015,0.9716708,71.0,-0.1724269,73.0,1.1440977
484791,39,92,42,0.95985401459854,1984,0.05957535,141.0,0.1972514,147.0,0.13767605
512534,40,210,651,0.613333333333333,1985,1.700515,151.0,-0.1831395,153.0,1.8836545
249929,28,345,390,0.683333333333333,1973,-0.5623525,90.0,1.389995,91.0,1.9523475
1416018,68,540,325,0.655737704918033,2013,-0.7494722,61.0,0.9765104,64.0,1.7259826
371909,34,360,310,0.771186440677966,1979,-0.7384798,118.0,-2.22514,122.0,1.4866602
1456997,69,630,645,0.927631578947368,2014,-1.74342,77.0,-0.9460844,79.0,0.7973356
937153,55,235,540,0.766666666666667,2000,1.05723,67.0,-0.3291657,51.0,1.3863957
1298730,65,395,740,0.931818181818182,2010,0.8701391,68.0,0.65721,68.0,0.2129291
37786,11,350,850,0.725,1956,0.4135803,60.0,-0.8173829,60.0,1.2309632
1694899,76,101,41,0.852112676056338,2021,-1.761132,77.0,-0.06497932,71.0,1.69615268
409805,36,40,475,0.883458646616541,1981,-1.535362,133.0,-0.1496328,134.0,1.3857292
543829,41,451,56,0.906474820143885,1986,-0.1516322,151.0,0.4829072,141.0,0.6345394
326982,32,265,775,0.791208791208791,1977,-2.413882,91.0,-0.4361308,91.0,1.9777512
1534051,71,701,51,0.965753424657534,2016,-0.8338374,54.0,-0.373822,78.0,0.4600154
939543,55,345,710,0.808823529411765,2000,0.8200914,32.0,-0.7226381,67.0,1.5427295
1050034,58,551,403,1.0,2003,-0.7037716,76.0,-0.683775,1.0,0.0199966
103956,18,666,800,0.913793103448276,1963,0.7303658,30.0,0.8427863,30.0,0.1124205
1373703,67,432,812,0.975903614457831,2012,-0.5818191,68.0,-0.7417761,67.0,0.159957
317671,31,694,339,0.785714285714286,1976,-0.1875997,87.0,-1.588441,56.0,1.4008413
957290,55,780,220,0.689189189189189,2000,-0.8494707,67.0,1.507312,67.0,2.3567827
1447077,69,404,53,0.977941176470588,2014,-0.4945342,68.0,-0.4616599,78.0,0.0328743
182612,24,315,345,0.863636363636364,1969,-1.564182,44.0,-1.293767,44.0,0.270415
