Year,Actor1CountryCode,Actor2CountryCode,AvgTone_Avg
2009,NLD,MYS,5.798039709087338
2018,DEU,JPN,-0.8253883079340821
2007,JPN,PHL,5.335051656120501
2022,PHL,KOR,1.2106238218881074
2015,IDN,THA,-2.280236954350713
2008,PHL,DEU,4.186400029198268
2014,SGP,FRA,3.7480960323269623
2022,FRA,AUS,-0.319030029391634
2011,DEU,USA,5.461252960812472
2006,USA,IDN,5.38519748219082
2019,CHE,THA,-0.5757690427021146
2022,DEU,CHE,-1.5370243520048434
2014,CHN,ARE,2.838921622357661
2009,IND,AUS,5.327112903845143
2006,SGP,VNM,6.400170604668794
2023,JPN,IND,1.1607021048379311
2015,IDN,MYS,-2.1613117593721216
2015,ARE,CHE,1.8337702057635272
2014,SGP,MYS,2.3827371699293907
2009,IDN,FRA,5.3060067317336435
2008,AUS,THA,4.457929106174253
2023,CHN,SGP,0.5901496741280425
2021,IDN,AUS,-1.1247633429324069
2020,THA,IND,-1.1197739713802846
2012,PHL,CHN,4.179897909520812
2019,PHL,ARE,1.596862853698659
2008,USA,CHE,6.024496201962883
2018,KOR,THA,-0.2204939825119583
2024,ARE,KOR,3.1717056708682385
2007,AUS,ARE,6.296976810805313
2015,IDN,AUS,-2.488906007614641
2024,VNM,IND,2.2525737407976605
2021,NLD,USA,-0.6524242928798175
2024,AUS,NLD,-1.401372862872306
2008,DEU,AUS,5.010558217540186
2011,ARE,NLD,3.882116662773103
2014,NLD,SGP,3.5733366778234155
2022,USA,KOR,-1.031298157129821
2019,IND,CHN,-0.8621662132883966
2023,AUS,CHN,-1.1707402776546785
2008,USA,DEU,5.803194457838704
2009,AUS,JPN,5.699018867362037
2017,HKG,SGP,1.7632957437840326
2021,CHE,JPN,0.0881484293797443
2011,DEU,IND,6.068304716991365
2017,ARE,NLD,-0.4164912937470976
2009,THA,JPN,5.706631882162043
2023,SGP,CHE,1.7565302670550187
2018,ARE,CHE,-0.8466127208617212
2012,ARE,USA,5.990374374247303
2015,USA,AUS,-0.2009523273344322
2012,MYS,CHN,5.765841639205075
2022,SGP,FRA,2.5107173389709945
2006,PHL,DEU,4.736048265460034
2023,HKG,KOR,1.7643624010595138
2011,DEU,CHN,6.676072532588649
2022,IDN,PHL,0.3405000259263572
2019,PHL,DEU,-0.4155888533702271
2019,IDN,CHE,0.071076348014575
2017,AUS,KOR,-0.6569422042552738
2021,KOR,IDN,0.4601233991686726
2023,FRA,THA,2.2310057669607346
2017,DEU,JPN,-0.8536943593548972
2019,AUS,USA,-1.2249621847328267
2022,FRA,NLD,-1.2984527962716743
2023,HKG,DEU,0.409445801149826
2009,NLD,FRA,5.688859848724014
2009,SGP,VNM,6.802638921680939
2023,MYS,IDN,-0.5662971535351388
2011,MYS,KOR,5.4702024144274555
2022,IND,MYS,0.2359247222133112
2023,ARE,THA,2.6622767542178196
2006,IDN,DEU,2.8561889258030626
2021,USA,FRA,-1.2096289268272715
2022,NLD,KOR,0.5644682658869351
2016,USA,IND,-1.04305413067446
2017,FRA,SGP,2.2777738200008044
2016,MYS,CHN,-0.996670407165788
2006,IDN,KOR,6.097167161143142
2022,ARE,JPN,1.7539423741474662
2019,IND,DEU,-0.0237397358852414
2020,NLD,FRA,-1.3540197661201177
2022,PHL,IDN,0.3055599337544585
2024,SGP,THA,0.3480436270643733
2009,CHE,VNM,6.974891624947836
2014,IDN,CHN,2.359429662017134
2018,NLD,IND,1.611707635459268
2024,PHL,ARE,3.019582698136738
2016,MYS,THA,-1.5616382955727013
2018,CHE,ARE,-0.4265218819242938
2010,NLD,CHE,6.425926665684088
2024,USA,CHE,-0.83609577569962
2023,FRA,MYS,0.9548257084394054
2014,VNM,CHN,1.90658955040456
2023,KOR,HKG,0.1948508392413792
2014,MYS,NLD,1.6524557165796898
2012,SGP,FRA,6.434127955256011
2007,JPN,CHN,5.863469527255856
2015,PHL,HKG,-2.7431421446384
2015,CHN,DEU,-0.5174722680443473
2010,SGP,IDN,4.991363522782586
2009,ARE,VNM,8.382848980517624
2006,NLD,ARE,4.20168067226891
2008,CHN,DEU,5.772241785604235
2019,KOR,PHL,0.0789299789765061
2024,VNM,KOR,1.7021083524615823
2015,VNM,SGP,1.0483485502429113
2016,CHN,IDN,-1.5378417464844127
2008,MYS,IDN,5.260838487064298
2019,JPN,FRA,-1.1902958264097627
2007,SGP,CHE,4.944819324677426
