Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
 World,Saint Barthélemy,2020,Exports & Imports,1182.0,257,25.61,5.54,,34271.25,47565.23,0.0,0.0,7.1,6.68,2294,66.87,13.99,4.45,14.69,102.46,0,64.94,4952.35,448.83,9.97,11.49,106329,71.41,19.63,110.64,304.45,1331.46,0,1370.42,5401.18,0.0,
 World,Belarus,2020,Exports & Imports,4309.0,3936,93.37,84.77,,29674903.54,25120584.16,0.14,0.17,2.04,3.75,100014,46.01,49.23,0.95,3.81,800.3,0,1897450.62,22872262.91,4487249.9,8.63,11.02,1306911,69.95,24.03,9.57,69.16,3000.0,0,9550754.59,27359512.81,0.0,20.0
 World,Belize,2020,Exports & Imports,2473.0,945,53.59,20.35,,1024872.55,423328.64,0.0,0.01,4.43,1.72,6823,23.63,73.66,0.29,2.42,115.11,0,101257.91,217134.91,166865.61,9.69,18.28,371608,68.2,23.44,59.96,395.53,3000.0,0,137990.4,384000.52,0.0,37.0
 World,Bermuda,2020,Exports & Imports,2335.0,708,50.6,15.25,,2622949.47,266702.89,0.0,0.02,7.72,0.3,4722,25.1,73.06,0.13,1.72,274.5,0,2089.01,15914.13,405940.66,8.85,8.7,258698,71.09,23.48,46.32,251.46,3000.0,0,410680.33,421854.79,0.0,10.0
 World,Bolivia,2020,Exports & Imports,3510.0,1281,76.06,27.59,,5166926.26,7313734.78,0.04,0.03,2.95,1.19,17534,18.67,66.64,1.65,13.04,800.3,0,41928.84,4482866.19,3583736.89,9.64,6.46,505064,68.89,22.94,30.08,205.22,3000.0,0,3813427.26,8066603.08,0.0,72.0
 World,Brazil,2020,Exports & Imports,4288.0,4230,92.91,91.1,,156563407.9,236829794.4,1.36,0.91,5.27,11.64,272189,55.68,37.18,1.13,6.0,1392.36,0,32254700.96,251079805.4,5215245.07,8.74,11.55,1427456,69.31,24.57,4.18,27.92,3000.0,0,87453672.44,256295050.5,0.0,74.0
 World,Barbados,2020,Exports & Imports,3000.0,1419,65.01,30.56,,1325077.43,283852.94,0.0,0.01,2.22,6.22,10404,13.42,83.52,0.36,2.71,949.02,0,76041.7,198920.44,84771.54,9.8,17.93,510078,69.0,22.74,54.52,350.53,3000.0,0,145877.78,283691.98,0.0,28.0
 World,Brunei,2020,Exports & Imports,3243.0,1121,70.27,24.14,,3864703.81,7318162.68,0.04,0.02,3.69,0.19,10274,44.02,53.53,0.19,2.25,603.4,0,1919.64,3180633.63,3615981.08,8.4,3.14,410029,69.82,25.41,35.32,155.02,1167.01,0,1583372.59,6796614.71,0.0,30.0
 World,Bhutan,2020,Exports & Imports,3041.0,387,65.89,8.34,,831073.38,203352.6,0.0,0.0,2.96,0.64,2109,11.95,87.29,0.14,0.62,754.3,0,75.64,10228.19,187243.78,9.25,5.06,147376,66.27,22.75,64.34,703.08,3000.0,0,8565.92,197471.97,0.0,41.0
 World,Bunkers,2020,Exports & Imports,2750.0,66,59.59,1.42,,19593230.12,82304.34,0.0,0.11,3.9,1.47,737,76.39,20.22,0.54,2.85,97.0,0,1.43,137957.07,1383.98,8.01,4.12,42022,71.24,26.41,18.59,115.47,1545.16,0,112128.31,139341.05,0.0,
