year,country_a,country_b,un_dist,sector,value_export,value_import,D
2012,ARE,USA,3.61997,bec_6,66404394.0719341,1682770789.1170945,0.5843736388536331
2012,ARE,USA,3.61997,bec_7,116554968.23950538,770077759.2205995,0.5843736388536331
2012,ARE,USA,3.61997,bec_8,276165827.015363,8103877826.856597,0.5843736388536331
2013,ARE,USA,3.5374023,bec_1,137117544.1566654,1232661469.8404746,0.6970927713265237
2013,ARE,USA,3.5374023,bec_2,140575807.11448395,1665834318.8353467,0.6970927713265237
2013,ARE,USA,3.5374023,bec_3,193381131.76868707,2757780629.003365,0.6970927713265237
2013,ARE,USA,3.5374023,bec_4,486786458.2042065,2902051800.7333903,0.6970927713265237
2013,ARE,USA,3.5374023,bec_5,778736968.4013767,3820596080.1423264,0.6970927713265237
2013,ARE,USA,3.5374023,bec_6,50637810.59772029,2253588975.5337048,0.6970927713265237
2013,ARE,USA,3.5374023,bec_7,90065403.26408842,801665514.4156522,0.6970927713265237
2013,ARE,USA,3.5374023,bec_8,221180412.4927716,8284702491.495739,0.6970927713265237
2014,ARE,USA,3.4919775,bec_1,169776723.79351854,1290863691.0354,0.7081212871408544
2014,ARE,USA,3.4919775,bec_2,185041148.8506525,1798140389.979462,0.7081212871408544
2014,ARE,USA,3.4919775,bec_3,352976490.16466254,2570544924.954113,0.7081212871408544
2014,ARE,USA,3.4919775,bec_4,360577810.2837564,1907936769.8542025,0.7081212871408544
2014,ARE,USA,3.4919775,bec_5,1016504218.555955,3587250133.8434176,0.7081212871408544
2014,ARE,USA,3.4919775,bec_6,60866909.99792378,1634177200.9442303,0.7081212871408544
2014,ARE,USA,3.4919775,bec_7,125776006.77218102,879090202.3524129,0.7081212871408544
2014,ARE,USA,3.4919775,bec_8,250654643.5813501,7297804815.036762,0.7081212871408544
2015,ARE,USA,3.3482747,bec_1,141353778.66475537,1345480226.629557,0.8087223307290996
2015,ARE,USA,3.3482747,bec_2,161939116.97082096,1348914847.687817,0.8087223307290996
2015,ARE,USA,3.3482747,bec_3,379308254.05001473,3048082811.3825407,0.8087223307290996
2015,ARE,USA,3.3482747,bec_4,337672919.69508576,2083648796.2709808,0.8087223307290996
2015,ARE,USA,3.3482747,bec_5,761303583.4294217,3895820064.818068,0.8087223307290996
2015,ARE,USA,3.3482747,bec_6,54524735.15767408,1333064339.2833824,0.8087223307290996
2015,ARE,USA,3.3482747,bec_7,126039440.4044026,923672517.374366,0.8087223307290996
2015,ARE,USA,3.3482747,bec_8,245167483.62782463,7851511596.553288,0.8087223307290996
2016,ARE,USA,3.3298629,bec_1,152456751.02886245,1213999883.1157925,0.8260986480841503
2016,ARE,USA,3.3298629,bec_2,157478208.90532842,1410278925.180018,0.8260986480841503
2016,ARE,USA,3.3298629,bec_3,449814171.1749703,2549566147.7724915,0.8260986480841503
2016,ARE,USA,3.3298629,bec_4,498664223.0359251,2006690648.396532,0.8260986480841503
2016,ARE,USA,3.3298629,bec_5,1091487562.0247264,3030040379.7237225,0.8260986480841503
2016,ARE,USA,3.3298629,bec_6,61730988.11746147,1065800417.1392288,0.8260986480841503
2016,ARE,USA,3.3298629,bec_7,157314257.10953283,934821048.91197,0.8260986480841503
2016,ARE,USA,3.3298629,bec_8,407123726.6031927,8827668981.760244,0.8260986480841503
2017,ARE,USA,3.0875714,bec_1,172836600.38083315,1101295395.8510296,0.8346505809943608
2017,ARE,USA,3.0875714,bec_2,235912544.8152464,1461043598.278797,0.8346505809943608
2017,ARE,USA,3.0875714,bec_3,636776518.4234914,2218831402.111556,0.8346505809943608
2017,ARE,USA,3.0875714,bec_4,514188261.3634315,1812012821.7571309,0.8346505809943608
2017,ARE,USA,3.0875714,bec_5,1215973704.7564192,2516870172.64685,0.8346505809943608
2017,ARE,USA,3.0875714,bec_6,117009865.1305825,1179565903.7534115,0.8346505809943608
2017,ARE,USA,3.0875714,bec_7,260553397.53321552,957288200.8724272,0.8346505809943608
2017,ARE,USA,3.0875714,bec_8,599072947.5967804,7158087576.728797,0.8346505809943608
2018,ARE,USA,3.3181199,bec_1,210327562.6485044,1000433898.0424856,0.8221540029120833
2018,ARE,USA,3.3181199,bec_2,323933408.078223,2415718777.856764,0.8221540029120833
2018,ARE,USA,3.3181199,bec_3,782918139.6254951,2183077308.5744777,0.8221540029120833
2018,ARE,USA,3.3181199,bec_4,612252082.8678607,1434420095.7361145,0.8221540029120833
2018,ARE,USA,3.3181199,bec_5,1208948082.8416646,2763390668.7478046,0.8221540029120833
2018,ARE,USA,3.3181199,bec_6,139472953.93955702,1331150612.887397,0.8221540029120833
2018,ARE,USA,3.3181199,bec_7,308178516.6493541,917252508.7321924,0.8221540029120833
2018,ARE,USA,3.3181199,bec_8,665555557.3493412,5548061921.422763,0.8221540029120833
2019,ARE,USA,3.2789861,bec_1,219661043.97438905,1090581430.8357089,0.8562083888056631
2019,ARE,USA,3.2789861,bec_2,384830437.1944567,2122650968.1833107,0.8562083888056631
2019,ARE,USA,3.2789861,bec_3,684208478.092476,2305088468.7777486,0.8562083888056631
2019,ARE,USA,3.2789861,bec_4,457461412.7915538,1235920386.131779,0.8562083888056631
