country_a,country_b,year,bec_1,bec_2,bec_3,bec_4,bec_5,bec_6,bec_7,bec_8
CHN,THA,2023,9334256956.139795,7515515356.717382,14589584399.161182,2864933334.4954724,6341148619.110293,13303131433.412844,2535569723.9281054,1032174801.0349246
CHN,USA,2021,31773129473.32041,41447906391.35163,116851590009.59007,52276965105.635925,49000477714.363335,87085840367.46048,46250596507.65235,54751637918.62583
CHN,USA,2022,30999968515.30712,42850327642.26069,117109755784.9001,49327521226.45743,48938807045.67047,105686381813.3964,45643133109.747925,7999194782.259886
CHN,USA,2023,24793905060.79773,39815517767.675285,96333386162.72992,39788749352.87349,46137200291.20843,82904617216.45872,37610593859.52725,11923849296.729113
CHN,VNM,2021,6357117907.210979,7107040959.586381,21989130187.09503,14214023990.84993,9083335770.99567,28984457878.872444,4130393204.0524497,22636525317.337128
CHN,VNM,2022,7504664193.546,8804107206.035343,23301697030.342262,14716202415.139048,8315811605.409611,45710954079.55543,3067568154.424041,2257691763.5482526
CHN,VNM,2023,7193328684.619238,7265159282.85475,19658187437.516315,13121606380.49862,7737692934.271069,44091202005.36322,2722427116.233934,4355180542.642846
DEU,AUS,2021,1100344500.781229,1428752076.1429038,1751568321.702567,255877094.18612897,2669858886.673345,250949677.86624005,1580992972.803282,734302869.8443028
DEU,AUS,2022,1320092911.5947242,1829040948.3392203,1412042029.6603048,218912935.1453311,2629034871.5340834,210656567.92766628,1756335363.0800347,176366676.7186353
DEU,AUS,2023,1108307840.4165745,2030322635.6345928,1556678705.807129,203470392.8771297,2441697430.385329,247903926.80885485,1665851493.0682187,181194391.00217023
DEU,CHE,2021,3267879024.997456,7973416265.798931,13928030641.681896,7290457997.41637,7024943989.117498,2392290929.3963666,14107970275.589523,4047047740.0019584
DEU,CHE,2022,3098548541.8288083,9568806194.94758,13580710058.162071,7118775616.245485,6555927082.934252,2542860053.640888,13508586546.330816,1690162737.9100974
DEU,CHE,2023,3177872102.2965484,7997119667.351535,13441318188.118902,5819201482.863269,6803181846.163667,2390201313.0569167,12815964809.77793,1852711918.3712325
DEU,CHN,2021,2482126620.424032,8161477173.028205,25375298133.375435,6560848363.4303,24069981315.89556,17018555118.05066,9232334161.976778,9783125417.819036
DEU,CHN,2022,1895865893.6062071,14053251078.877625,20899697979.820354,5702530292.3492,19300844451.09125,16572896618.26016,7033333929.701382,1317535212.2938104
DEU,CHN,2023,1953057415.1266952,6397739828.610859,20671979274.3036,4925192702.746445,18891251280.8321,17244509319.802795,6675494237.766115,1989210372.8114047
DEU,FRA,2021,9608541347.101007,12512352839.652905,21727507428.802605,4664506504.579178,25572769676.191948,5869942673.219774,10339777243.43402,10589434543.018547
DEU,FRA,2022,9140588392.895416,13395197150.144407,20295354496.114014,4342913322.931623,25224334299.959225,5804215669.978208,10768583740.53608,5010107519.441012
DEU,FRA,2023,9707257812.53968,11902143585.491508,20699300363.857246,4387436720.254191,28106745537.35107,5604594212.686411,11163763216.58521,5689712151.234695
