country_a,country_b,year,tradeagreementindex,maritime_connectivity,sentiment_index,bec_1,bec_2,bec_3,bec_4,bec_5,bec_6,bec_7,bec_8
THA,MYS,2009,14,0.4,0.6473968967645065,899105206.2961869,1873680543.1262176,1617238449.9839385,179959243.3062596,851958848.2593626,2172579639.9651346,178035179.23623037,249674953.826669
THA,MYS,2010,14,0.4,0.6461477078558359,1315638333.0844376,2480501922.6418056,2140945017.791686,246016673.5213349,1324406916.8641245,2840040370.5614753,211170792.91325414,327678948.6218818
THA,MYS,2011,14,0.4,0.6301868938653498,1654816040.1740468,3088230943.0556855,2114605405.685261,282926890.3247082,1428885214.7974846,3015028512.4567122,225276349.34343103,455699572.1626687
THA,MYS,2012,14,0.4,0.6125029859441026,1470150219.9236398,3317722886.6440973,2129224491.397329,226943392.74514967,1572315568.0341501,2865913371.419772,264157315.47399342,257846674.36186895
THA,MYS,2013,14,0.4,0.5538256937770819,1319407051.603442,3433834999.143344,2261457663.9090104,194866286.4828334,1647012188.6546664,3007004345.3820252,284010711.8367048,271035360.9879754
THA,MYS,2014,14,0.4,0.5220919915795936,1213112701.2122338,3186224515.907564,2234984577.842029,228977993.89178902,1734051066.7080815,2740956094.679343,246435182.5128196,414473483.24613947
THA,MYS,2015,14,0.4,0.3100864472817053,962511816.9191004,2350797071.268906,1882798302.4673584,176076129.15606073,1357506601.1424353,2252795486.4697495,216793494.2769001,326820042.29948854
THA,MYS,2016,14,0.4,0.3690987255887497,929392457.8933206,1918728728.7914236,1908055468.3677106,176381933.7677991,1365524839.675331,2177123894.732783,209894592.90171194,305202339.8699203
THA,MYS,2017,14,0.4,0.4000751446919146,1087962695.8734787,2289454767.019383,1836692613.6534903,174146380.76379105,1304264342.392456,2335713265.2328196,204570500.8708931,264437034.19368887
THA,MYS,2018,14,0.4,0.3897206711513592,1068229424.0894084,2710548804.92563,1830512407.62659,176293386.7240125,1567649127.3085093,2597891692.41051,228045371.29735658,218829913.61798307
THA,MYS,2019,14,0.4,0.4110480548566986,983918057.4621658,2614949507.8100843,1597806869.0819726,152823839.95647353,1294312762.0398333,2019035735.6567054,254239805.6867204,177058446.3060448
THA,MYS,2020,14,0.4,0.386906162629737,956541421.952424,1718119170.9353497,1493935443.031068,165438507.13799554,1048167635.4525073,1720719990.3578162,217668360.22586942,221072190.9069689
THA,MYS,2021,14,0.4,0.4048756525932879,1268215675.723283,2464888234.2096696,1748597492.5173934,218251299.20493513,1534465600.3045223,2130027281.5879493,229701082.19535014,253033622.256897
THA,MYS,2022,14,0.4,0.4403047888187156,1213081152.758634,3124976943.955727,1608702290.5212965,210947680.22237805,1508033446.5194063,1744166344.8806202,235376481.5465093,5000203.595428328
THA,MYS,2023,14,0.4,0.4328436216915217,1077992888.4271219,2729807709.4117126,1428347301.4073262,169637455.6764299,1569502045.01374,1600183405.1278522,216072046.0294694,7164860.906348117
THA,NLD,2006,0,0.3,0.7131957939019711,430969114.1763589,174395514.8216394,374134169.35908467,238558945.67273214,269069565.93722636,1273107531.4514034,118619924.1557448,771909522.4258103
THA,NLD,2007,0,0.3,0.6096386642842673,571668575.4342376,198018914.46788144,520724328.0558049,258970768.92850724,362788508.23508745,1775028023.1990654,151014594.50191146,330425519.1775038
THA,NLD,2008,0,0.3,0.5543479859602725,643585843.602897,241566230.38797185,541379987.5307199,251266143.7471394,419826282.11175966,1662133419.254756,190020895.42556152,353736845.93919426
THA,NLD,2009,0,0.3,0.5733869071035892,472366276.1538989,189666277.5011993,309021844.0051368,215272928.0502683,277871815.1610443,1216050824.1225514,188466610.58221304,400129248.4236883
THA,NLD,2010,0,0.3,0.6563352921225942,547626006.1434991,250622804.060289,408198711.78900385,234373135.02354378,294563348.0658208,1366923730.7762191,226647560.74902144,424984415.3926027
THA,NLD,2011,0,0.3,0.6135426371062574,730499109.3761913,533419479.3119806,546424794.39608,238149753.3141881,443504341.1754632,1335390481.1148195,224067831.7705303,467262673.5407475
THA,NLD,2012,0,0.3,0.6306921901110374,726167494.9368182,350219215.77029586,487446988.03522897,183353699.81127492,289428176.54258615,1251612951.7054627,270905514.0322224,508858023.16611075
THA,NLD,2013,0,0.3,0.5514293648285967,749339254.3750653,264007029.7547636,526482757.68537426,151421194.06470397,314142552.0512447,1511504545.63377,250333172.216683,464545238.2183952
THA,NLD,2014,0,0.3,0.5188851972612474,792837061.0125012,317419483.8951919,545093079.9132639,144618151.6717829,317225072.8095271,1652424585.452783,197704316.960072,366879080.2848773
THA,NLD,2015,0,0.3,0.4680698704653291,687338411.902557,261957653.62702784,456443578.3891679,117989178.66263244,351320890.93660104,1558043025.3143673,215943006.47880164,345227038.68884474
THA,NLD,2016,0,0.3,0.2981715902637625,658770239.0220513,278091917.69250286,513378289.2782652,116045882.20991158,343198724.9789649,1405769894.552003,264938438.26358888,364422294.0027119
THA,NLD,2017,0,0.3,0.3768641628700465,695938848.3489082,336051183.24563724,596242041.7345423,121197773.4276338,372340494.75599194,1530437816.7708242,286914219.0335301,438021430.68293244
THA,NLD,2018,0,0.3,0.4886421955261694,773099492.7305795,370437511.8942036,538848982.1096057,119840229.02536754,365067453.7587469,1745096010.6883924,318545386.6178106,422146021.1752937
THA,NLD,2019,0,0.3,0.3612778171322672,683355838.2827511,357644958.96019727,530882155.93406355,129029027.0638917,319349553.6051348,1499011718.8611302,296575147.2980034,340152367.9948279
THA,NLD,2020,0,0.3,0.3769398198727006,590550182.1521739,274054989.340514,525725007.66038054,130626777.25881582,274820109.69144624,1323092520.8134766,264312241.13277173,346710267.95042086
THA,NLD,2021,0,0.3,0.430376785942848,652753112.3675859,364675473.50159127,635021490.7836903,161839953.48280606,324794412.0627919,1553434087.9306343,307108949.60529643,350421800.2656036
THA,NLD,2022,0,0.3,0.4253106109551602,731194741.1839789,371472230.4621945,590092415.5584193,137931029.72422257,287943956.41677815,1849697375.2740831,386879450.54821086,2884672.8321125484
THA,NLD,2023,0,0.3,0.5035136976062524,637691889.2361195,351275609.74539393,776731312.7283214,122301777.00556928,430281507.8375307,1612967767.3031347,388590826.72923243,2124365.414697797
THA,PHL,2006,14,0.3,0.6685374811124185,246887399.4534745,353057855.0887607,446742266.17022675,63525680.6296021,617969332.248371,473287511.12589306,84960691.2139223,611823344.0697496
THA,PHL,2007,14,0.3,0.6584489721493748,348788558.89192605,386206260.2173801,552706987.9619502,86428994.5531502,754014670.370717,866456669.110224,110570438.87302552,147545756.02162716
THA,PHL,2008,14,0.3,0.6423743888895025,557071944.8911012,439759675.5941599,600475621.3339075,118528690.3636589,910598786.2017128,747684931.0162734,129830874.37526196,107724356.2239243
THA,PHL,2009,14,0.3,0.6927216774194932,382394591.05436593,440640479.39051354,585431519.760839,77399354.89261608,840115224.5988657,592969869.5704134,148820323.684327,96371997.04805885
THA,PHL,2010,14,0.3,0.6608844223390641,682561359.9452641,873585880.1811396,894306881.6629863,117623864.68875214,1333674054.0696068,799138991.0192859,194404578.33484977,139036550.09811553
THA,PHL,2011,14,0.3,0.6903600918777042,529759948.32771635,819022343.8028977,957516185.9301363,120009695.30031733,1006420727.970772,821701650.718071,185570668.61039004,150413627.33969894
THA,PHL,2012,14,0.3,0.6940975556679749,481914130.3679169,829787818.4900135,871603673.5324985,109096754.31955105,1265277456.4458585,869130428.7049814,238189983.11719996,68600011.02197967
THA,PHL,2013,14,0.3,0.5446097176222904,487985421.25842625,766544969.8020931,868200003.4636325,98135575.30547804,1342032845.9492204,929768637.4021064,240367551.1979602,72779779.6210829
THA,PHL,2014,14,0.3,0.5368901126429384,566066369.6779532,979132189.9305497,895523439.0294437,107403502.26742886,1559581715.6048567,1042915570.0987719,279890676.0016211,82694345.38937414
THA,PHL,2015,14,0.3,0.425693778468432,576032002.3774314,574342665.2057574,870726212.662087,106400426.87866065,2050666401.7813084,1056179993.442325,267872110.1787023,103305179.47372782
THA,PHL,2016,14,0.3,0.4107294109261847,614495371.7939329,526005258.11179036,990907474.6521498,105006897.15597609,2108847314.0141358,1180760417.1125555,298313188.6529054,149160398.50655425
THA,PHL,2017,14,0.3,0.4390487324188465,548073481.7743177,595249283.5446486,1196147097.0049508,110441852.48012856,2303209279.4483066,1193051548.3687444,288108289.9446404,143987839.4342617
THA,PHL,2018,14,0.3,0.4692082821688746,842024509.3335356,705811730.6402645,1210470461.4511724,149465897.6730516,2426694350.301454,1310396923.8010056,315394006.4125734,98933416.38694257
THA,PHL,2019,14,0.3,0.4502927294366712,583072576.8586625,530976896.43189913,1151968446.813842,111800108.95530602,2000588212.5220158,1259619438.2951236,306053353.7535205,128897862.36963037
THA,PHL,2020,14,0.3,0.44407781160107,476601404.0827722,352634116.3643249,889258622.0756638,67511643.30821389,1095125650.1412249,1154493574.9116879,247017259.29877,75865761.81734261
THA,PHL,2021,14,0.3,0.4418064331147546,508555085.1357537,714491058.7714375,1190492201.1598725,82759113.24093887,1579434069.443824,1349868727.916222,258670386.37354207,87274957.95840837
THA,PHL,2022,14,0.3,0.4675751261254533,582030259.2255547,636904103.4258472,1131784204.9043612,108028014.33831222,1630409975.7479682,1304968882.96306,264571584.06114298,8286399.333752452
THA,PHL,2023,14,0.3,0.4864794145574787,779356299.8019543,618044575.3618625,1170200411.2014654,81967320.04277387,1862500575.8159165,1030998402.6850108,294340143.7640599,6781967.326957407
THA,SGP,2006,14,0.5,0.637349704892139,314200838.24469095,2178431271.750908,1371366507.7478845,161017910.39818496,521995465.289761,1803206898.2185316,211099414.23010832,2859215454.1199307
THA,SGP,2007,14,0.5,0.6291357629892844,1016749774.4337721,2132919837.9707727,1910299101.4469528,179511078.7440302,507815210.7150044,3008806695.3326273,248950246.74956122,1374051286.6072772
THA,SGP,2008,14,0.5,0.6315673983198181,571553677.4331012,2438458668.1649284,1633395003.1198337,249652876.37624782,823782640.8543793,3012815898.441231,266741892.1628537,1402068463.4474251
THA,SGP,2009,14,0.5,0.6677259106281207,362979914.5744071,1634365998.4734435,1355643816.822833,165333258.80749696,751136573.5824347,2269446960.741242,280215088.3179193,1110759988.6802227
THA,SGP,2010,14,0.5,0.6667187082291758,448560732.18271536,2320551518.6602316,1509596378.2325637,203066473.8114664,595870213.7478766,2457863460.3252587,331175999.36534876,1406868119.6745389
THA,SGP,2011,14,0.5,0.6796425546134934,538374787.1726079,3492239958.5715756,1541536531.8650014,278722316.0810062,1571602602.4790652,2044456081.879199,357855750.65629727,1476079043.2952461
THA,SGP,2012,14,0.5,0.6507037830855112,501461308.7673423,3925238126.0023074,1362006267.9665914,278262119.3050801,1517130372.397237,2166928587.0396957,350859467.4033322,445573847.11841303
THA,SGP,2013,14,0.5,0.5337620886459088,509028222.76712936,3641723170.5930614,1253383937.2314715,642969965.1829063,1724444706.7282944,2140256864.638799,367454655.48481613,444644013.373522
THA,SGP,2014,14,0.5,0.5494370274602882,512641278.67000294,3487531775.701298,1301671914.810747,415842612.6765397,1409288762.4303226,2032126993.7023263,353489816.3754422,308448509.6333213
THA,SGP,2015,14,0.5,0.429043839516557,456735790.06892335,2293472565.113527,1109792043.3912978,505376332.92503774,1336233269.9068618,1913417127.2554786,338377203.1820807,229513812.1567924
THA,SGP,2016,14,0.5,0.4166504715918398,448371424.9534771,2054847481.26394,982268671.3653029,755763108.4782715,1069579645.7465383,1837607471.024444,327856272.2242055,215395396.9438192
