,country_a,country_b,bec_1,bec_2,bec_3,bec_4,bec_5,bec_6,bec_7,bec_8,D,year
13,ARE,SGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4416431616.0,0.6004390008034667,2006
14,ARE,THA,447469151.658435,344254090.326159,1460111228.66142,1566636514.961074,1729482556.0918944,328283643.68241787,220620513.391409,1530266013.2271893,0.5857467891589774,2006
15,ARE,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528905600.0,0.5734265761444396,2006
16,ARE,VNM,5465610.953847003,1500597.0055588605,2254507.587587056,4173145.0555079314,1856503.5837054509,6224353.280085893,313362.65256501024,24702483.881142788,0.6792211809909137,2006
17,AUS,ARE,190512627.64395136,770182583.4738568,124810234.81270038,149286368.8438181,249071360.2908656,8283353.251988979,24483476.44197191,95339019.24084663,0.6201511209525525,2006
18,AUS,CHE,18781122.61783873,12372541.241748562,49931736.43880648,49888978.82319109,8898792.329273047,7923520.017059917,125014333.13150492,50325487.40057722,0.6083547678164751,2006
19,AUS,CHN,533095077.8636364,4704876121.265198,3161135402.229838,2703659471.757762,942291989.4143986,1772321407.314741,595798231.954392,2372144282.200037,0.552294340425347,2006
20,AUS,DEU,77368940.42804287,183548608.8069806,256559526.95781568,27578072.756861288,299186405.97281736,65970159.56933897,154326493.15809664,129485216.35004644,0.5919294221067976,2006
21,AUS,FRA,81177576.66746065,214518668.86939496,124348985.08427484,16313522.772376817,233322487.23574945,26415822.95357053,210363358.6587427,127325753.75843,0.5725266258041849,2006
22,AUS,HKG,323233375.1114935,89915071.69163756,735299843.6594052,481379425.1358889,83627491.33132112,215360130.03833973,233225244.5790802,455898362.4528338,0.552294340425347,2006
23,AUS,IDN,445126200.4041519,1459546673.8272097,632490513.8215115,562466279.6108325,188915018.87015745,112617331.83874609,93525713.89903212,232186635.7283585,0.5894642960276996,2006
24,AUS,IND,276760998.3037909,3011080889.5238724,464151610.12545353,3245486935.3134995,139033915.41352078,30367280.74974576,102166626.1035716,278489664.4665472,0.5834345276516378,2006
25,AUS,JPN,3118451823.655825,11800808722.26268,2351717564.325489,742762320.9189252,6295180798.132901,544844644.3614869,352480387.8678048,1522142346.4748871,0.5960247153788062,2006
26,AUS,KOR,791557786.615935,4452448442.933107,1371008871.3865688,325790828.66133016,1767055668.3529055,336228774.5280753,204457432.35815024,1040350243.1639272,0.5724000333620358,2006
27,AUS,MYS,202728762.48485392,715243627.6644037,466701892.5735881,87635651.29901795,130182490.04829247,371264715.3408477,67513152.80280425,286679275.78619224,0.5783376128154606,2006
28,AUS,NLD,302257838.54204965,1147134115.322477,264309798.16281465,39319575.32976604,111506516.49401048,58240086.54257012,283083726.7366909,205736694.86962104,0.56565933630316,2006
29,AUS,PHL,153668318.71264064,283975858.20696384,120063561.69789724,14989460.15062162,47974265.84761902,65190756.01425748,75451461.54534079,105453869.82465926,0.6039580990114621,2006
30,AUS,SGP,205594534.2778514,1602875511.1322703,240164024.66331223,391377197.46680826,86734812.31787686,213482981.5512541,173555859.18505916,960999079.4055668,0.5314468253575495,2006
31,AUS,THA,315809651.66783464,433342139.5557367,847960582.3468344,517870197.2270804,981609483.872018,97870023.70408402,140687343.93843517,292928401.68797666,0.5644765430467181,2006
32,AUS,USA,1186976321.5859556,967929537.3897088,1246054254.1985228,281427348.0503611,1646871639.8403375,665414387.314454,1090312803.5433989,1367842380.0772624,0.5388372256162273,2006
33,AUS,VNM,72185479.342421,836029980.4986135,107535274.61614262,178384630.53215075,10278853.0722209,7472167.062269548,8205661.56796814,60933489.30821332,0.5813761706757985,2006
34,CHE,ARE,15741108.053090354,23028762.403929304,79740574.4412561,259058526.07501745,83555559.50603226,4845893.783016866,203439545.65469167,897350606.082966,0.5860499843659377,2006
35,CHE,AUS,77072532.39965473,41511381.07024769,202236538.78519195,124063913.19005129,52746184.50687426,37398009.08155394,582555031.9561157,352772377.0103103,0.6083547678164751,2006
36,CHE,CHN,105081443.36984947,452442028.8604045,1006249065.9184276,604936343.6375587,169765034.0510982,171698193.3738768,632136461.8876044,524915236.9011802,0.5427558654788712,2006
37,CHE,DEU,1378316713.163085,4310364901.202727,9039158058.625809,1800273473.926242,3773174064.959518,2182813044.5947995,5229055177.63688,4797963925.89094,0.5397481504797259,2006
