"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
582873114,20160926,201609,2016,2016.7288,"JPN","JAPAN","JPN",NA,NA,NA,NA,NA,NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,0,"130","130","13",3,-4.4,2,1,2,-3.68445914029286,3,"Houston, Texas, United States","US","USTX",29.7633,-95.3633,1380948,4,"East China Sea, Japan (general), Japan","JA","JA00",29,125,-226888,4,"East China Sea, Japan (general), Japan","JA","JA00",29,125,-226888,20160926,"https://wn.com/Spanish_police"
582873115,20160926,201609,2016,2016.7288,"JPN","JAPAN","JPN",NA,NA,NA,NA,NA,NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,0,"130","130","13",3,-4.4,2,1,2,-3.68445914029286,3,"Houston, Texas, United States","US","USTX",29.7633,-95.3633,1380948,4,"East China Sea, Japan (general), Japan","JA","JA00",29,125,-226888,3,"Houston, Texas, United States","US","USTX",29.7633,-95.3633,1380948,20160926,"https://wn.com/Spanish_police"
582873226,20160926,201609,2016,2016.7288,"KOR","SOUTH KOREA","KOR",NA,NA,NA,NA,NA,NA,NA,"JPN","JAPAN","JPN",NA,NA,NA,NA,NA,NA,NA,0,"190","190","19",4,-10,3,1,3,-3.90455531453362,4,"Toronto, Ontario, Canada","CA","CA08",43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada","CA","CA08",43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada","CA","CA08",43.6667,-79.4167,-574890,20160926,"http://www.theusnews.com/index.php/sid/248009419"
582873227,20160926,201609,2016,2016.7288,"KOR","SOUTH KOREA","KOR",NA,NA,NA,NA,NA,NA,NA,"JPN","JAPAN","JPN",NA,NA,NA,NA,NA,NA,NA,0,"190","190","19",4,-10,2,1,2,-3.90455531453362,2,"New York, United States","US","USNY",42.1497,-74.9384,NA,2,"New York, United States","US","USNY",42.1497,-74.9384,NA,2,"New York, United States","US","USNY",42.1497,-74.9384,NA,20160926,"http://www.theusnews.com/index.php/sid/248009419"
582873503,20160926,201609,2016,2016.7288,"MNCKOR","HYUNDAI","KOR",NA,NA,NA,NA,"MNC",NA,NA,"CHN","CHINA","CHN",NA,NA,NA,NA,NA,NA,NA,1,"111","111","11",3,-2,10,1,10,2.00573065902578,4,"Hanam, Cholla-namdo, South Korea","KS","KS16",34.76,127.302,10076056,4,"Hanam, Cholla-namdo, South Korea","KS","KS16",34.76,127.302,10076056,4,"Hanam, Cholla-namdo, South Korea","KS","KS16",34.76,127.302,10076056,20160926,"http://www.just-auto.com/news/hyundai-eyes-genesis-brand-entry-to-china_id172248.aspx"
582873519,20160926,201609,2016,2016.7288,"MNCUSA","DISNEY","USA",NA,NA,NA,NA,"MNC",NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,0,"190","190","19",4,-10,2,1,2,-2.31788079470199,2,"Nebraska, United States","US","USNE",41.1289,-98.2883,NA,3,"Walt Disney World, Florida, United States","US","USFL",28.4117,-81.5826,292855,2,"Nebraska, United States","US","USNE",41.1289,-98.2883,NA,20160926,"http://www.inquisitr.com/3542620/disney-vacation-crash-kills-both-parents-injures-both-daughters-of-missouri-familiy/"
582873520,20160926,201609,2016,2016.7288,"MNCUSA","DISNEY","USA",NA,NA,NA,NA,"MNC",NA,NA,"USA","NEBRASKA","USA",NA,NA,NA,NA,NA,NA,NA,0,"190","190","19",4,-10,8,1,8,-2.31788079470199,2,"Nebraska, United States","US","USNE",41.1289,-98.2883,NA,2,"Nebraska, United States","US","USNE",41.1289,-98.2883,NA,2,"Nebraska, United States","US","USNE",41.1289,-98.2883,NA,20160926,"http://www.inquisitr.com/3542620/disney-vacation-crash-kills-both-parents-injures-both-daughters-of-missouri-familiy/"
582873656,20160926,201609,2016,2016.7288,"NLD","HOLLAND","NLD",NA,NA,NA,NA,NA,NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,1,"190","190","19",4,-10,1,1,1,-1.38888888888889,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,20160926,"https://www.yahoo.com/news/watch-time-lapse-footage-tesla-151151475.html"
582873657,20160926,201609,2016,2016.7288,"NLD","HOLLAND","NLD",NA,NA,NA,NA,NA,NA,NA,"USA","PENNSYLVANIA","USA",NA,NA,NA,NA,NA,NA,NA,1,"190","190","19",4,-10,6,1,6,-1.38888888888889,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,2,"Pennsylvania, United States","US","USPA",40.5773,-77.264,NA,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,20160926,"https://www.yahoo.com/news/watch-time-lapse-footage-tesla-151151475.html"
582873658,20160926,201609,2016,2016.7288,"NLD","HOLLAND","NLD",NA,NA,NA,NA,NA,NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,1,"190","190","19",4,-10,1,1,1,-1.38888888888889,2,"New Jersey, United States","US","USNJ",40.314,-74.5089,NA,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,3,"Manhattan, New York, United States","US","USNY",40.7834,-73.9662,971945,20160926,"https://www.yahoo.com/news/watch-time-lapse-footage-tesla-151151475.html"
