YEAR,COUNTRY,SECTOR_ID,TCI,ICI,ECI,SECTOR
2011,BEL,11,2.8648455142974854,3.0903143882751465,2.718836784362793,Other Non-Metallic Mineral Products
2011,BEL,12,2.5461010932922363,2.9862561225891113,2.1898908615112305,Basic Metals and Fabricated Metal
2011,BEL,13,2.6197540760040283,3.7813336849212646,1.7144464254379272,Other Machinery
2011,BEL,14,2.4342689514160156,3.7297098636627197,1.5010744333267212,Electrical and Optical Equipment
2011,BEL,15,2.559770345687866,4.1884684562683105,1.6039097309112549,Transport Equipment
2011,BEL,16,2.856217861175537,3.185962200164795,2.4930100440979004,Other Manufacturing; Recycling
2011,BEL,18,4.541316509246826,4.619042873382568,4.532495021820068,Construction
2011,BEL,19,3.179373264312744,4.337759017944336,2.7482593059539795,"Sale, Maintenance and Repair of Motor Vehicles"
2011,BEL,20,2.950073003768921,3.301345109939575,2.850987195968628,Wholesale Trade and Commission Trade
2011,BEL,21,3.6532866954803467,4.241456031799316,3.214838743209839,Retail Trade; Repair of Household Goods
2011,BEL,22,3.3597171306610107,3.288423776626587,3.835456132888794,Hotels and Restaurants
2011,BEL,23,2.5935404300689697,2.743171453475952,2.456784248352051,Inland Transport
2011,BEL,24,2.1621346473693848,3.0842740535736084,1.580377459526062,Maritime Transport
2011,BEL,25,1.9581788778305054,2.2184267044067383,1.7402480840682983,Air Transport
2011,BEL,26,2.4314544200897217,2.9746594429016113,2.164016008377075,Logistics and Travel Agencies
2011,BEL,27,2.7631943225860596,2.887847423553467,2.65613055229187,Post and Telecommunications
2011,BEL,28,2.9989571571350098,2.8250269889831543,3.275778293609619,Financial Intermediation
2011,BEL,29,8.175240516662598,7.760009288787842,9.014412879943848,Real Estate Activities
2011,BEL,30,3.139981269836426,3.175673723220825,3.0805492401123047,Business and Professional Activities
2011,BEL,32,3.387582540512085,3.991866111755371,3.1501381397247314,Education
2011,BEL,33,4.305936813354492,3.4789302349090576,5.329197883605957,Health and Social Work
2011,BEL,34,2.880359411239624,3.050325393676758,2.894228458404541,"Other Community, Social and Personal Services"
2012,BEL,1,2.950404405593872,2.7713608741760254,3.133549928665161,"Agriculture, Hunting, Forestry and Fishing"
2012,BEL,2,2.474888563156128,3.43125319480896,1.8763765096664429,Mining and Quarrying
2012,BEL,3,2.6954033374786377,2.551100492477417,2.919419288635254,"Food, Beverages and Tobacco"
2012,BEL,4&5,2.2916836738586426,3.588353157043457,1.4350227117538452,Textiles; Leather Products and Footwear
2012,BEL,6,2.5003762245178223,2.6160833835601807,2.546973705291748,Wood and Products of Wood and Cork
2012,BEL,7,2.5383121967315674,2.358107566833496,2.75030517578125,"Pulp, Paper, Printing and Publishing"
2012,BEL,8,2.223097801208496,2.3073432445526123,2.2155466079711914,"Coke, Refined Petroleum and Nuclear Fuel"
2012,BEL,9,1.9544779062271118,2.374392509460449,1.5275874137878418,Chemicals and Chemical Products
2012,BEL,10,2.0585777759552,2.7897744178771973,1.5741780996322632,Rubber and Plastics
2012,BEL,11,2.8959012031555176,3.0950121879577637,2.769426107406616,Other Non-Metallic Mineral Products
2012,BEL,12,2.5867257118225098,3.002753257751465,2.2441341876983643,Basic Metals and Fabricated Metal
2012,BEL,13,2.6259806156158447,3.683008909225464,1.7811897993087769,Other Machinery
2012,BEL,14,2.4535765647888184,3.7392852306365967,1.546112060546875,Electrical and Optical Equipment
2012,BEL,15,2.5819547176361084,4.058255195617676,1.683417558670044,Transport Equipment
2012,BEL,16,2.8819262981414795,3.2368578910827637,2.4907381534576416,Other Manufacturing; Recycling
2012,BEL,18,4.599481582641602,4.539945125579834,4.795211315155029,Construction
2012,BEL,19,3.11716628074646,3.902029275894165,2.713724374771118,"Sale, Maintenance and Repair of Motor Vehicles"
2012,BEL,20,2.9064388275146484,3.260876417160034,2.8354554176330566,Wholesale Trade and Commission Trade
2012,BEL,21,3.54191517829895,3.927656888961792,3.152724504470825,Retail Trade; Repair of Household Goods
2012,BEL,22,3.389921188354492,3.2892236709594727,3.8868014812469482,Hotels and Restaurants
2012,BEL,23,2.575935125350952,2.7243432998657227,2.456714153289795,Inland Transport
2012,BEL,24,2.1470279693603516,3.706021785736084,1.2310539484024048,Maritime Transport
2012,BEL,25,1.9463400840759277,2.161423683166504,1.7486602067947388,Air Transport
2012,BEL,26,2.407426357269287,2.8772668838500977,2.169072389602661,Logistics and Travel Agencies
2012,BEL,27,2.7095561027526855,2.9906678199768066,2.6517934799194336,Post and Telecommunications
2012,BEL,28,2.9527151584625244,2.7925779819488525,3.225966215133667,Financial Intermediation
2012,BEL,29,8.183070182800293,7.627963542938232,9.001509666442871,Real Estate Activities
2012,BEL,30,3.0660457611083984,3.104276180267334,3.0311803817749023,Business and Professional Activities
2012,BEL,32,3.3454155921936035,3.731631278991699,3.2901530265808105,Education
2012,BEL,33,4.194034576416016,3.424575090408325,4.917151927947998,Health and Social Work
2012,BEL,34,2.82601261138916,3.0183238983154297,2.8407533168792725,"Other Community, Social and Personal Services"
2013,BEL,1,2.930206775665283,2.7778611183166504,3.0729269981384277,"Agriculture, Hunting, Forestry and Fishing"
2013,BEL,2,2.4478530883789062,3.614993095397949,1.7523820400238037,Mining and Quarrying
2013,BEL,3,2.652796745300293,2.529571294784546,2.791367769241333,"Food, Beverages and Tobacco"
2013,BEL,4&5,2.2688164710998535,3.532392978668213,1.4335287809371948,Textiles; Leather Products and Footwear
2013,BEL,6,2.5282840728759766,2.579000473022461,2.617964744567871,Wood and Products of Wood and Cork
2013,BEL,7,2.5376710891723633,2.3619823455810547,2.7146058082580566,"Pulp, Paper, Printing and Publishing"
2013,BEL,8,1.8070869445800781,2.415508508682251,1.4035542011260986,"Coke, Refined Petroleum and Nuclear Fuel"
2013,BEL,9,1.9441348314285278,2.372117042541504,1.5373387336730957,Chemicals and Chemical Products
2013,BEL,10,1.9983034133911133,2.678398609161377,1.553743839263916,Rubber and Plastics
2013,BEL,11,2.888300657272339,3.100970983505249,2.774216413497925,Other Non-Metallic Mineral Products
2013,BEL,12,2.573918581008911,2.9556427001953125,2.2543628215789795,Basic Metals and Fabricated Metal
2013,BEL,13,2.592848062515259,3.5103397369384766,1.8454558849334717,Other Machinery
2013,BEL,14,2.432133436203003,3.6082980632781982,1.555182695388794,Electrical and Optical Equipment
2013,BEL,15,2.5660412311553955,3.888591766357422,1.728726863861084,Transport Equipment
2013,BEL,16,2.9272353649139404,3.2400898933410645,2.563554286956787,Other Manufacturing; Recycling
2013,BEL,18,4.33602237701416,4.426536560058594,4.402276039123535,Construction
2013,BEL,19,3.0591084957122803,4.007439613342285,2.682234764099121,"Sale, Maintenance and Repair of Motor Vehicles"
2013,BEL,20,2.8371620178222656,3.1921191215515137,2.7538325786590576,Wholesale Trade and Commission Trade
2013,BEL,21,3.429839849472046,3.841651439666748,3.0505447387695312,Retail Trade; Repair of Household Goods
2013,BEL,22,3.3736648559570312,3.4039506912231445,3.895313024520874,Hotels and Restaurants
