YEAR,COUNTRY,EXPORT_USD,IMPORT_USD,EXPORT_SHARE,IMPORT_SHARE,EXPORT_PRODUCTS,IMPORT_PRODUCTS
2021,Burkina Faso,3731370020.0,4589194070.0,0.02,0.02,3009.0,1310
2021,Bangladesh,77389334460.0,53190241510.0,0.36,0.24,4163.0,2678
2021,Bulgaria,43419961380.0,40402779710.0,0.2,0.18,4444.0,4413
2021,Bahrain,16084058190.0,16653741460.0,0.07,0.08,3930.0,2782
2021,"Bahamas, The",8176434760.0,1660698650.0,0.04,0.01,3124.0,894
2021,Bosnia and Herzegovina,10894319770.0,8862071770.0,0.05,0.04,4093.0,2902
2021,Saint Barthélemy,65932509.99999999,26521160.0,0.0,0.0,1160.0,347
2021,Belarus,38203523350.0,33635557600.0,0.18,0.15,4325.0,4009
2021,Belize,1174391420.0,372554610.0,0.01,0.0,2474.0,1009
2021,Bermuda,2144555180.0000002,224412220.0,0.01,0.0,2365.0,798
2021,Bolivia,6780714020.0,10577010780.0,0.03,0.05,3553.0,1491
2021,Brazil,220428599800.0,315669596700.0,1.02,1.44,4311.0,4258
2021,Barbados,1634339760.0,296452130.0,0.01,0.0,2945.0,1598
2021,Brunei,5769097750.0,10414175900.0,0.03,0.05,3250.0,1154
2021,Bhutan,1125137760.0,369861390.0,0.01,0.0,3389.0,494
2021,Bunkers,27642392500.0,702188220.0,0.13,0.0,2726.0,183
2021,Bouvet Island,1139040.0,191530.0,0.0,0.0,51.0,66
2021,Botswana,7171105650.0,5886117630.0,0.03,0.03,3894.0,1969
2021,Central African Republic,381724400.0,135999790.0,0.0,0.0,1963.0,497
2021,Canada,486527828500.0,516536729400.0,2.24,2.35,4528.0,4453
2021,Cocos (Keeling) Islands,11741210.0,8644570.0,0.0,0.0,334.0,372
2021,Switzerland,324325397500.0,389938284800.0,1.5,1.77,4517.0,4409
2021,Chile,86611503050.0,100733224400.0,0.4,0.46,4271.0,3303
2021,China,2182086483000.0,3399159648000.0,10.06,15.47,4550.0,4612
2021,Cote d'Ivoire,14563918510.0,13738737240.0,0.07,0.06,3719.0,2147
2021,Cameroon,8606053090.0,5635068990.0,0.04,0.03,3439.0,2279
2021,"Congo, Rep.",3418239690.0,10461520160.0,0.02,0.05,3167.0,1506
2021,Cook Islands,176552960.0,31986480.0,0.0,0.0,2151.0,308
2021,Colombia,59043744110.0,45987182080.0,0.27,0.21,4211.0,3655
2021,Comoros,359339100.0,56908240.0,0.0,0.0,2000.0,392
2021,Cape Verde,889615270.0,127785850.0,0.0,0.0,3012.0,650
2021,Costa Rica,17231167510.0,21951640380.0,0.08,0.1,3898.0,2986
2021,Cuba,4040998710.0,1722192290.0,0.02,0.01,3158.0,790
2021,Curaçao,1137435190.0,335214630.0,0.01,0.0,2759.0,1875
2021,Christmas Island,36033420.0,14415020.0,0.0,0.0,721.0,308
2021,Cayman Islands,6226681200.0,2459105730.0,0.03,0.01,2585.0,904
2021,Cyprus,12722995530.0,3538296400.0,0.06,0.02,4289.0,3531
2021,Czech Republic,187354821000.0,194479634900.0,0.86,0.89,4498.0,4485
2021,Germany,1350247246000.0,1533570133000.0,6.23,6.98,4568.0,4595
2021,Djibouti,8271435090.0,390707950.0,0.04,0.0,3240.0,756
2021,Dominica,692579010.0,42218820.0,0.0,0.0,1913.0,802
2021,Denmark,115556198000.0,112370865500.0,0.53,0.51,4452.0,4442
2021,Dominican Republic,23164382530.0,11660592370.0,0.11,0.05,3959.0,2460
2021,Algeria,36981205860.0,38607310780.0,0.17,0.18,3881.0,1982
2021,East Asia & Pacific,6000548059000.0,7429197465000.0,27.67,33.81,0.0,4627
2021,Europe & Central Asia,7989929958000.0,7998948362000.0,36.84,36.41,0.0,4633
2021,Ecuador,22545318920.0,29339914580.0,0.1,0.13,3961.0,2511
2021,"Egypt, Arab Rep.",96126371710.0,40313972090.0,0.44,0.18,4244.0,3617
2021,Eritrea,333228820.0,671641290.0,0.0,0.0,1848.0,364
2021,Western Sahara,36969170.0,6680220.0,0.0,0.0,126.0,76
2021,Spain,381443236000.0,361192020000.0,1.76,1.64,4535.0,4566
2021,Estonia,26005445660.0,18579882850.0,0.12,0.08,4363.0,4198
2021,Ethiopia(excludes Eritrea),11592703410.0,3858379050.0,0.05,0.02,3564.0,1877
2021,Finland,81144280020.0,82750835550.0,0.37,0.38,4432.0,4324
2021,Fiji,2041042240.0,752720240.0,0.01,0.0,3227.0,1957
2021,Falkland Island,140357770.0,338421310.0,0.0,0.0,1145.0,202
2021,France,682999825600.0,590047737800.0,3.15,2.69,4562.0,4591
2021,Free Zones,2837668790.0,4467633850.0,0.01,0.02,1756.0,2731
2021,Faeroe Islands,1296684300.0,1617355170.0,0.01,0.01,3079.0,943
2021,"Micronesia, Fed. Sts.",132266260.00000001,205703170.0,0.0,0.0,1269.0,230
2021,Gabon,2234757750.0,6792613830.0,0.01,0.03,3158.0,1078
2021,United Kingdom,676658069300.0,414174562000.0,3.12,1.89,4565.0,4596
2021,Georgia,10158043810.0,3912870420.0,0.05,0.02,3903.0,2266
2021,Ghana,21049629310.0,15136899340.0,0.1,0.07,3878.0,2561
2021,Gibraltar,8443987600.0,144495610.0,0.04,0.0,2866.0,717
2021,Guinea,5377532330.0,10170747730.0,0.02,0.05,3232.0,1219
2021,"Gambia, The",1638613490.0,283030380.0,0.01,0.0,2520.0,628
