MONTH,COUNTRY,GPR_SCORE
1931-10-01,ARG,0.06791748106479645
1931-11-01,ARG,0.07560484111309052
1931-12-01,ARG,0.026162030175328255
1932-01-01,ARG,0.05816368758678436
1932-02-01,ARG,0.08224435895681381
1932-03-01,ARG,0.03499868884682655
1932-04-01,ARG,0.0632396787405014
1932-05-01,ARG,0.02639451064169407
1932-06-01,ARG,0.05731754004955292
1932-07-01,ARG,0.21298174560070038
1932-08-01,ARG,0.26278331875801086
1932-09-01,ARG,0.2542911767959595
1932-10-01,ARG,0.05468963459134102
1932-11-01,ARG,0.07769253104925156
1932-12-01,ARG,0.10483179241418839
1933-01-01,ARG,0.11510536819696426
1933-02-01,ARG,0.17807677388191223
1933-03-01,ARG,0.1371992975473404
1933-04-01,ARG,0.0974918007850647
1933-05-01,ARG,0.25417929887771606
1933-06-01,ARG,0.06853338330984116
1933-07-01,ARG,0.06621263921260834
1933-08-01,ARG,0.028757669031620026
1933-09-01,ARG,0.019267823547124863
1933-10-01,ARG,0.05005422607064247
1933-11-01,ARG,0.017467249184846878
1933-12-01,ARG,0.16283993422985077
1934-01-01,ARG,0.12136974185705185
1934-02-01,ARG,0.06678751856088638
1934-03-01,ARG,0.043162982910871506
1934-04-01,ARG,0.06637902557849884
1934-05-01,ARG,0.30090269446372986
1934-06-01,ARG,0.03479168564081192
1934-07-01,ARG,0.09519688785076141
1934-08-01,ARG,0.0899847000837326
1934-09-01,ARG,0.17164435982704163
1934-10-01,ARG,0.016733601689338684
1934-11-01,ARG,0.1221427321434021
1934-12-01,ARG,0.1195763573050499
1935-01-01,ARG,0.09595254808664322
1935-02-01,ARG,0.07430800795555115
1935-03-01,ARG,0.113406240940094
1935-04-01,ARG,0.060991548001766205
1935-05-01,ARG,0.03397893160581589
1935-06-01,ARG,0.06727777421474457
1935-07-01,ARG,0.05483458191156387
1935-08-01,ARG,0.037348274141550064
1935-09-01,ARG,0.2428998500108719
1935-10-01,ARG,0.34769171476364136
1935-11-01,ARG,0.07385524362325668
1935-12-01,ARG,0.0853315144777298
1936-01-01,ARG,0.051804523915052414
1936-02-01,ARG,0.11162790656089783
1936-03-01,ARG,0.06517842411994934
1936-04-01,ARG,0.025830892845988274
1936-05-01,ARG,0.07483784854412079
1936-06-01,ARG,0.08961376547813416
1936-07-01,ARG,0.0467115081846714
1936-08-01,ARG,0.18089725077152252
1936-09-01,ARG,0.2013177126646042
1936-10-01,ARG,0.10935396701097488
1936-11-01,ARG,0.24551928043365479
1936-12-01,ARG,0.5030695796012878
1937-01-01,ARG,0.11464133858680725
1937-02-01,ARG,0.0658513605594635
1937-03-01,ARG,0.05293339118361473
1937-04-01,ARG,0.11579228937625885
1937-05-01,ARG,0.033795200288295746
1937-06-01,ARG,0.06564141064882278
1937-07-01,ARG,0.0477646142244339
1937-08-01,ARG,0.08375988900661469
1937-09-01,ARG,0.08693132549524307
1937-10-01,ARG,0.09530410915613174
1937-11-01,ARG,0.07380754500627518
1937-12-01,ARG,0.05633273720741272
1938-01-01,ARG,0.06200726330280304
1938-02-01,ARG,0.07261411100625992
1938-03-01,ARG,0.06697282940149307
1938-04-01,ARG,0.049101442098617554
1938-05-01,ARG,0.04596010595560074
1938-06-01,ARG,0.059922102838754654
1938-07-01,ARG,0.06916996091604233
1938-08-01,ARG,0.08376963436603546
1938-09-01,ARG,0.2663934528827667
1938-10-01,ARG,0.16515277326107025
1938-11-01,ARG,0.10456273704767227
1938-12-01,ARG,0.22607384622097015
1939-01-01,ARG,0.10145729780197144
1939-02-01,ARG,0.14944492280483246
1939-03-01,ARG,0.08104457706212997
1939-04-01,ARG,0.23127557337284088
1939-05-01,ARG,0.07360382378101349
1939-06-01,ARG,0.039471086114645004
1939-07-01,ARG,0.04054328054189682
1939-08-01,ARG,0.16133911907672882
1939-09-01,ARG,0.46328240633010864
1939-10-01,ARG,0.32079842686653137
1939-11-01,ARG,0.296873539686203
1939-12-01,ARG,0.4905968904495239
1940-01-01,ARG,0.19352568686008453
1940-02-01,ARG,0.14417532086372375
1940-03-01,ARG,0.11549249291419983
1940-04-01,ARG,0.13452914357185364
1940-05-01,ARG,0.23682133853435516
1940-06-01,ARG,0.31142160296440125
1940-07-01,ARG,0.28110945224761963
1940-08-01,ARG,0.18628911674022675
1940-09-01,ARG,0.13473457098007202
1940-10-01,ARG,0.175978884100914
1940-11-01,ARG,0.0936417281627655
1940-12-01,ARG,0.18128453195095062
1941-01-01,ARG,0.15922075510025024
1941-02-01,ARG,0.12430080771446228
1941-03-01,ARG,0.11583355814218521
1941-04-01,ARG,0.17484214901924133
1941-05-01,ARG,0.17821967601776123
1941-06-01,ARG,0.11105969548225403
1941-07-01,ARG,0.1926586925983429
1941-08-01,ARG,0.15405155718326569
1941-09-01,ARG,0.19019019603729248
1941-10-01,ARG,0.08545385301113129
1941-11-01,ARG,0.07407407462596893
1941-12-01,ARG,0.3597445785999298
1942-01-01,ARG,0.3509403467178345
1942-02-01,ARG,0.13983219861984253
1942-03-01,ARG,0.13167135417461395
1942-04-01,ARG,0.09563887119293213
1942-05-01,ARG,0.11865644156932831
1942-06-01,ARG,0.1678515076637268
1942-07-01,ARG,0.12259910255670547
1942-08-01,ARG,0.44044241309165955
1942-09-01,ARG,0.08827856928110123
1942-10-01,ARG,0.2035340964794159
1942-11-01,ARG,0.10342233628034592
1942-12-01,ARG,0.057647962123155594
1943-01-01,ARG,0.12030075490474701
1943-02-01,ARG,0.060598716139793396
1943-03-01,ARG,0.07164790481328964
1943-04-01,ARG,0.11130223423242569
1943-05-01,ARG,0.031020576134324074
1943-06-01,ARG,0.23622047901153564
1943-07-01,ARG,0.07989043742418289
1943-08-01,ARG,0.08058017492294312
1943-09-01,ARG,0.11286681890487671
1943-10-01,ARG,0.10438413172960281
1943-11-01,ARG,0.06807351857423782
1943-12-01,ARG,0.18654541671276093
1944-01-01,ARG,0.20356842875480652
1944-02-01,ARG,0.3795066475868225
1944-03-01,ARG,0.12144765257835388
1944-04-01,ARG,0.08272276073694229
1944-05-01,ARG,0.03730415180325508
1944-06-01,ARG,0.05244525894522667
1944-07-01,ARG,0.2099737524986267
1944-08-01,ARG,0.12342292815446854
1944-09-01,ARG,0.224837988615036
1944-10-01,ARG,0.12919896841049194
1944-11-01,ARG,0.08586850017309189
1944-12-01,ARG,0.07266561686992645
1945-01-01,ARG,0.08840616047382355
1945-02-01,ARG,0.4880032539367676
1945-03-01,ARG,0.5987292528152466
1945-04-01,ARG,0.2612265348434448
1945-05-01,ARG,0.27767717838287354
1945-06-01,ARG,0.25297242403030396
1945-07-01,ARG,0.11345014721155167
1945-08-01,ARG,0.1490868479013443
1945-09-01,ARG,0.19776640832424164
1945-10-01,ARG,0.3224371671676636
1945-11-01,ARG,0.1653868854045868
1945-12-01,ARG,0.05645889788866043
