Year,Actor1CountryCode,Actor2CountryCode,sentiment_index
2006,JPN,NLD,0.6461396295239682
2006,JPN,PHL,0.6791624435922821
2006,JPN,SGP,0.7324401060576479
2006,JPN,THA,0.6636438605261696
2006,JPN,USA,0.6692789365658942
2006,JPN,VNM,0.7041597714796055
2006,KOR,ARE,0.718154914721506
2006,KOR,AUS,0.6799187312200561
2006,KOR,CHE,0.7376959045885028
2006,KOR,CHN,0.671851945853319
2006,KOR,DEU,0.617454066459939
2006,KOR,FRA,0.6701638428688668
2006,KOR,IDN,0.6702612010422995
2006,KOR,IND,0.6823147204106188
2006,KOR,JPN,0.6437563645191472
2006,KOR,MYS,0.6985175826669925
2006,KOR,NLD,0.5482755403430062
2006,KOR,PHL,0.6253291896567481
2006,KOR,SGP,0.7029578614881968
2006,KOR,THA,0.6839896922286953
